UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Experiments	Methods	Publications	3DStructures	CurationEvents
P45973	CBX5_HUMAN	CBX5	O43463	SUV91_HUMAN	SUV39H1	13	10	8	0	17
Q92769	HDAC2_HUMAN	HDAC2	O43463	SUV91_HUMAN	SUV39H1	5	4	2	0	6
Q15910	EZH2_HUMAN	EZH2	O43463	SUV91_HUMAN	SUV39H1	3	3	1	0	4
O95243	MBD4_HUMAN	MBD4	O43463	SUV91_HUMAN	SUV39H1	1	1	1	0	2
Q13185	CBX3_HUMAN	CBX3	O43463	SUV91_HUMAN	SUV39H1	3	3	1	0	6
Q9Y6K1	DNM3A_HUMAN	DNMT3A	O43463	SUV91_HUMAN	SUV39H1	3	3	1	0	3
Q16576	RBBP7_HUMAN	RBBP7	O43463	SUV91_HUMAN	SUV39H1	2	2	1	0	2
Q09028	RBBP4_HUMAN	RBBP4	O43463	SUV91_HUMAN	SUV39H1	2	2	1	0	2
Q9UBC3	DNM3B_HUMAN	DNMT3B	O43463	SUV91_HUMAN	SUV39H1	2	2	1	0	3
Q96KQ7	EHMT2_HUMAN	EHMT2	O43463	SUV91_HUMAN	SUV39H1	2	2	2	0	2
Q15047	SETB1_HUMAN	SETDB1	O43463	SUV91_HUMAN	SUV39H1	2	2	2	0	2
P51608	MECP2_HUMAN	MECP2	O43463	SUV91_HUMAN	SUV39H1	1	1	1	0	1
Q96T88	UHRF1_HUMAN	UHRF1	O43463	SUV91_HUMAN	SUV39H1	1	1	1	0	2
Q6P1J9	CDC73_HUMAN	CDC73	O43463	SUV91_HUMAN	SUV39H1	1	1	1	0	2
O43463	SUV91_HUMAN	SUV39H1	O43463	SUV91_HUMAN	SUV39H1	1	1	1	0	1
Q9UIF9	BAZ2A_HUMAN	BAZ2A	O60264	SMCA5_HUMAN	SMARCA5	4	3	3	0	4
Q92769	HDAC2_HUMAN	HDAC2	O60264	SMCA5_HUMAN	SMARCA5	6	4	4	0	8
Q9UBC3	DNM3B_HUMAN	DNMT3B	O60264	SMCA5_HUMAN	SMARCA5	4	4	2	0	6
P26358	DNMT1_HUMAN	DNMT1	O60264	SMCA5_HUMAN	SMARCA5	1	1	1	0	2
Q93034	CUL5_HUMAN	CUL5	O60264	SMCA5_HUMAN	SMARCA5	1	1	1	0	1
Q13547	HDAC1_HUMAN	HDAC1	O60264	SMCA5_HUMAN	SMARCA5	2	1	2	0	2
O60264	SMCA5_HUMAN	SMARCA5	O60264	SMCA5_HUMAN	SMARCA5	2	2	1	0	2
Q15022	SUZ12_HUMAN	SUZ12	O60264	SMCA5_HUMAN	SMARCA5	1	1	1	0	1
O75530	EED_HUMAN	EED	O60264	SMCA5_HUMAN	SMARCA5	1	1	1	0	1
Q16576	RBBP7_HUMAN	RBBP7	O60264	SMCA5_HUMAN	SMARCA5	1	1	1	0	2
O75530	EED_HUMAN	EED	O75530	EED_HUMAN	EED	4	3	4	0	5
Q9UBC3	DNM3B_HUMAN	DNMT3B	O75530	EED_HUMAN	EED	8	6	2	0	8
Q13619	CUL4A_HUMAN	CUL4A	O75530	EED_HUMAN	EED	2	2	1	0	2
Q96EB6	SIR1_HUMAN	SIRT1	O75530	EED_HUMAN	EED	2	2	1	0	2
Q15910	EZH2_HUMAN	EZH2	O75530	EED_HUMAN	EED	45	12	31	0	66
Q15714	T22D1_HUMAN	TSC22D1	O75530	EED_HUMAN	EED	1	1	1	0	2
P46783	RS10_HUMAN	RPS10	O75530	EED_HUMAN	EED	1	1	1	0	2
Q02539	H11_HUMAN	HIST1H1A	O75530	EED_HUMAN	EED	1	1	1	0	1
Q15843	NEDD8_HUMAN	NEDD8	O75925	PIAS1_HUMAN	PIAS1	1	1	1	0	1
P16220	CREB1_HUMAN	CREB1	O75925	PIAS1_HUMAN	PIAS1	2	2	1	0	2
