UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Experiments	Methods	Publications	3DStructures	CurationEvents
O14867	BACH1_HUMAN	BACH1	P35638	DDIT3_HUMAN	DDIT3	2	2	2	0	2
O14867	BACH1_HUMAN	BACH1	P15336	ATF2_HUMAN	ATF2	2	2	2	0	2
O14867	BACH1_HUMAN	BACH1	P17544	ATF7_HUMAN	ATF7	2	2	2	0	2
O14867	BACH1_HUMAN	BACH1	P01100	FOS_HUMAN	FOS	1	1	1	0	1
O14867	BACH1_HUMAN	BACH1	Q16520	BATF_HUMAN	BATF	1	1	1	0	1
O14867	BACH1_HUMAN	BACH1	O75444	MAF_HUMAN	MAF	1	1	1	0	2
O14867	BACH1_HUMAN	BACH1	Q9ULX9	MAFF_HUMAN	MAFF	4	3	4	0	6
O14867	BACH1_HUMAN	BACH1	O14867	BACH1_HUMAN	BACH1	2	2	2	0	2
O14974	MYPT1_HUMAN	PPP1R12A	P01100	FOS_HUMAN	FOS	3	3	2	0	3
O43318	M3K7_HUMAN	MAP3K7	O43318	M3K7_HUMAN	MAP3K7	11	5	10	0	11
O43318	M3K7_HUMAN	MAP3K7	Q04206	TF65_HUMAN	RELA	3	3	2	0	3
O43318	M3K7_HUMAN	MAP3K7	P01100	FOS_HUMAN	FOS	1	1	1	0	1
O43709	BUD23_HUMAN	BUD23	O43709	BUD23_HUMAN	BUD23	1	1	1	0	1
O60476	MA1A2_HUMAN	MAN1A2	P01100	FOS_HUMAN	FOS	1	1	1	0	1
O60636	TSN2_HUMAN	TSPAN2	P01100	FOS_HUMAN	FOS	2	2	1	0	2
O60869	EDF1_HUMAN	EDF1	P20226	TBP_HUMAN	TBP	5	4	3	0	8
O60869	EDF1_HUMAN	EDF1	P21675	TAF1_HUMAN	TAF1	1	1	1	0	1
O60869	EDF1_HUMAN	EDF1	P15336	ATF2_HUMAN	ATF2	1	1	1	0	1
O60869	EDF1_HUMAN	EDF1	P49715	CEBPA_HUMAN	CEBPA	1	1	1	0	1
O75030	MITF_HUMAN	MITF	P28482	MK01_HUMAN	MAPK1	1	1	1	0	1
O75030	MITF_HUMAN	MITF	Q15418	KS6A1_HUMAN	RPS6KA1	1	1	1	0	1
O75030	MITF_HUMAN	MITF	Q09472	EP300_HUMAN	EP300	2	2	1	0	2
O75030	MITF_HUMAN	MITF	P27448	MARK3_HUMAN	MARK3	1	1	1	0	1
O75030	MITF_HUMAN	MITF	P05067	A4_HUMAN	APP	1	1	1	0	1
O75030	MITF_HUMAN	MITF	P78332	RBM6_HUMAN	RBM6	1	1	1	0	1
O75444	MAF_HUMAN	MAF	O75444	MAF_HUMAN	MAF	4	4	4	0	4
O75444	MAF_HUMAN	MAF	P05412	JUN_HUMAN	JUN	1	1	1	0	1
O75444	MAF_HUMAN	MAF	P14921	ETS1_HUMAN	ETS1	2	2	1	0	2
O75444	MAF_HUMAN	MAF	P01100	FOS_HUMAN	FOS	2	2	2	0	2
O75444	MAF_HUMAN	MAF	P63279	UBC9_HUMAN	UBE2I	1	1	1	0	1
O75444	MAF_HUMAN	MAF	P29590	PML_HUMAN	PML	1	1	1	0	1
O75676	KS6A4_HUMAN	RPS6KA4	P28482	MK01_HUMAN	MAPK1	4	3	3	0	4
O75676	KS6A4_HUMAN	RPS6KA4	O75676	KS6A4_HUMAN	RPS6KA4	2	2	2	0	2
O75676	KS6A4_HUMAN	RPS6KA4	P01100	FOS_HUMAN	FOS	2	2	1	0	2
O75688	PPM1B_HUMAN	PPM1B	O43318	M3K7_HUMAN	MAP3K7	3	3	1	0	3
O75688	PPM1B_HUMAN	PPM1B	Q8N2I9	STK40_HUMAN	STK40	1	1	1	0	1
O94916	NFAT5_HUMAN	NFAT5	O94916	NFAT5_HUMAN	NFAT5	3	3	2	0	3
O94916	NFAT5_HUMAN	NFAT5	P01100	FOS_HUMAN	FOS	1	1	1	0	2
O94916	NFAT5_HUMAN	NFAT5	P05412	JUN_HUMAN	JUN	1	1	1	0	2
O94916	NFAT5_HUMAN	NFAT5	P17612	KAPCA_HUMAN	PRKACA	1	1	1	0	2
O95405	ZFYV9_HUMAN	ZFYVE9	P84022	SMAD3_HUMAN	SMAD3	10	6	6	1	13
O95405	ZFYV9_HUMAN	ZFYVE9	Q15796	SMAD2_HUMAN	SMAD2	13	6	9	1	14
O95405	ZFYV9_HUMAN	ZFYVE9	P29590	PML_HUMAN	PML	4	3	3	0	5
O95619	YETS4_HUMAN	YEATS4	Q96L91	EP400_HUMAN	EP400	4	3	4	0	5
O95644	NFAC1_HUMAN	NFATC1	P18847	ATF3_HUMAN	ATF3	2	2	1	0	3
O95644	NFAC1_HUMAN	NFATC1	P17535	JUND_HUMAN	JUND	2	2	1	0	2
O95644	NFAC1_HUMAN	NFATC1	Q8TAQ2	SMRC2_HUMAN	SMARCC2	3	2	2	0	3
O95644	NFAC1_HUMAN	NFATC1	O95644	NFAC1_HUMAN	NFATC1	1	1	1	0	2
O95644	NFAC1_HUMAN	NFATC1	P15336	ATF2_HUMAN	ATF2	3	3	1	0	3
O95644	NFAC1_HUMAN	NFATC1	Q09472	EP300_HUMAN	EP300	4	3	3	0	6
O95644	NFAC1_HUMAN	NFATC1	P63279	UBC9_HUMAN	UBE2I	2	2	1	0	2
O95644	NFAC1_HUMAN	NFATC1	P35453	HXD13_HUMAN	HOXD13	1	1	1	0	1
O95644	NFAC1_HUMAN	NFATC1	Q01196	RUNX1_HUMAN	RUNX1	1	1	1	0	2
O95644	NFAC1_HUMAN	NFATC1	P17275	JUNB_HUMAN	JUNB	1	1	1	0	1
O95644	NFAC1_HUMAN	NFATC1	Q92793	CBP_HUMAN	CREBBP	1	1	1	0	1
O95644	NFAC1_HUMAN	NFATC1	Q13469	NFAC2_HUMAN	NFATC2	1	1	1	0	1
O95644	NFAC1_HUMAN	NFATC1	P17544	ATF7_HUMAN	ATF7	1	1	1	0	1
O95644	NFAC1_HUMAN	NFATC1	Q969G3	SMCE1_HUMAN	SMARCE1	1	1	1	0	1
O95644	NFAC1_HUMAN	NFATC1	Q92922	SMRC1_HUMAN	SMARCC1	1	1	1	0	1
O95644	NFAC1_HUMAN	NFATC1	Q96GM5	SMRD1_HUMAN	SMARCD1	1	1	1	0	1
O96017	CHK2_HUMAN	CHEK2	P27958	POLG_HCVH	POLG	3	3	1	0	3
O96017	CHK2_HUMAN	CHEK2	O96017	CHK2_HUMAN	CHEK2	14	6	7	0	16
O96017	CHK2_HUMAN	CHEK2	P06400	RB_HUMAN	RB1	6	6	1	0	6
O96017	CHK2_HUMAN	CHEK2	P29692	EF1D_HUMAN	EEF1D	1	1	1	0	1
O96017	CHK2_HUMAN	CHEK2	P19784	CSK22_HUMAN	CSNK2A2	1	1	1	0	1
O96017	CHK2_HUMAN	CHEK2	P68400	CSK21_HUMAN	CSNK2A1	1	1	1	0	1
O96017	CHK2_HUMAN	CHEK2	P12270	TPR_HUMAN	TPR	1	1	1	0	1
O96017	CHK2_HUMAN	CHEK2	P29590	PML_HUMAN	PML	2	2	1	0	3
O96017	CHK2_HUMAN	CHEK2	P05067	A4_HUMAN	APP	1	1	1	0	1
O96017	CHK2_HUMAN	CHEK2	Q96EB6	SIR1_HUMAN	SIRT1	1	1	1	0	2
P00519	ABL1_HUMAN	ABL1	P05067	A4_HUMAN	APP	2	2	1	0	2
P00519	ABL1_HUMAN	ABL1	P31946	1433B_HUMAN	YWHAB	6	3	3	0	7
P00519	ABL1_HUMAN	ABL1	P00533	EGFR_HUMAN	EGFR	5	5	3	0	5
P00519	ABL1_HUMAN	ABL1	Q09472	EP300_HUMAN	EP300	2	2	1	0	2
P00519	ABL1_HUMAN	ABL1	Q8WX92	NELFB_HUMAN	NELFB	1	1	1	0	1
P00519	ABL1_HUMAN	ABL1	Q9Y4G6	TLN2_HUMAN	TLN2	2	2	1	0	3
P00519	ABL1_HUMAN	ABL1	Q96AG4	LRC59_HUMAN	LRRC59	2	2	1	0	2
P00519	ABL1_HUMAN	ABL1	P05412	JUN_HUMAN	JUN	4	3	3	0	4
P00519	ABL1_HUMAN	ABL1	P06400	RB_HUMAN	RB1	6	3	4	0	7
P00519	ABL1_HUMAN	ABL1	P00519	ABL1_HUMAN	ABL1	4	4	4	0	4
P00519	ABL1_HUMAN	ABL1	Q9Y6Q9	NCOA3_HUMAN	NCOA3	2	2	1	0	2
P00519	ABL1_HUMAN	ABL1	P01100	FOS_HUMAN	FOS	1	1	1	0	1
P00519	ABL1_HUMAN	ABL1	O75688	PPM1B_HUMAN	PPM1B	1	1	1	0	1
P00533	EGFR_HUMAN	EGFR	Q99959	PKP2_HUMAN	PKP2	1	1	1	0	2
P00533	EGFR_HUMAN	EGFR	Q96AG4	LRC59_HUMAN	LRRC59	1	1	1	0	1
P00533	EGFR_HUMAN	EGFR	P0DMV8	HS71A_HUMAN	HSPA1A	12	8	6	0	12
P00533	EGFR_HUMAN	EGFR	P03372	ESR1_HUMAN	ESR1	5	4	3	0	9
P00533	EGFR_HUMAN	EGFR	P00533	EGFR_HUMAN	EGFR	28	13	24	9	30
P00533	EGFR_HUMAN	EGFR	P14625	ENPL_HUMAN	HSP90B1	3	3	2	0	3
P00533	EGFR_HUMAN	EGFR	P43243	MATR3_HUMAN	MATR3	2	2	1	0	2
P00533	EGFR_HUMAN	EGFR	P05067	A4_HUMAN	APP	3	3	2	0	3
P00533	EGFR_HUMAN	EGFR	P31946	1433B_HUMAN	YWHAB	3	3	2	0	3
P00533	EGFR_HUMAN	EGFR	P02545	LMNA_HUMAN	LMNA	2	2	1	0	5
P00533	EGFR_HUMAN	EGFR	P19338	NUCL_HUMAN	NCL	2	2	1	0	5
P00533	EGFR_HUMAN	EGFR	P01100	FOS_HUMAN	FOS	2	2	1	0	2
P00533	EGFR_HUMAN	EGFR	P28482	MK01_HUMAN	MAPK1	1	1	1	0	1
