UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Experiments	Methods	Publications	3DStructures	CurationEvents
Q14145	KEAP1_HUMAN	KEAP1	A0A0C4DFT7	A0A0C4DFT7_HUMAN	GYPA	5	4	2	0	5
Q14145	KEAP1_HUMAN	KEAP1	A3KMH1	VWA8_HUMAN	VWA8	2	2	1	0	2
Q14145	KEAP1_HUMAN	KEAP1	A9UGY9	A9UGY9_HUMAN	ATG5	3	3	1	0	3
Q14145	KEAP1_HUMAN	KEAP1	B8Q183	B8Q183_HUMAN	GYPA	3	3	1	0	4
I3L3J2	I3L3J2_HUMAN	ZSCAN32	I3L3J2	I3L3J2_HUMAN	ZSCAN32	1	1	1	0	1
Q14145	KEAP1_HUMAN	KEAP1	I3L3J2	I3L3J2_HUMAN	ZSCAN32	3	3	1	0	3
Q14145	KEAP1_HUMAN	KEAP1	O14682	ENC1_HUMAN	ENC1	1	1	1	0	1
Q16236	NF2L2_HUMAN	NFE2L2	O14682	ENC1_HUMAN	ENC1	6	3	3	0	7
P07900	HS90A_HUMAN	HSP90AA1	O14682	ENC1_HUMAN	ENC1	1	1	1	0	1
O14682	ENC1_HUMAN	ENC1	O14682	ENC1_HUMAN	ENC1	2	2	2	0	2
O14920	IKKB_HUMAN	IKBKB	O14920	IKKB_HUMAN	IKBKB	16	7	16	0	16
P08238	HS90B_HUMAN	HSP90AB1	O14920	IKKB_HUMAN	IKBKB	4	4	2	0	5
P07900	HS90A_HUMAN	HSP90AA1	O14920	IKKB_HUMAN	IKBKB	3	3	3	0	4
Q9UGK3	STAP2_HUMAN	STAP2	O14920	IKKB_HUMAN	IKBKB	5	5	1	0	10
Q13618	CUL3_HUMAN	CUL3	O14920	IKKB_HUMAN	IKBKB	1	1	1	0	1
P10415	BCL2_HUMAN	BCL2	O14920	IKKB_HUMAN	IKBKB	1	1	1	0	1
Q02156	KPCE_HUMAN	PRKCE	O14920	IKKB_HUMAN	IKBKB	2	2	1	0	2
P08238	HS90B_HUMAN	HSP90AB1	O14980	XPO1_HUMAN	XPO1	2	2	1	0	2
Q6P5F9	XPO1_MOUSE	Xpo1	O14980	XPO1_HUMAN	XPO1	2	2	1	0	2
P54274	TERF1_HUMAN	TERF1	O14980	XPO1_HUMAN	XPO1	2	2	2	0	2
P06748	NPM_HUMAN	NPM1	O14980	XPO1_HUMAN	XPO1	2	2	2	0	2
O14980	XPO1_HUMAN	XPO1	O14980	XPO1_HUMAN	XPO1	1	1	1	0	1
Q9UKX7	NUP50_HUMAN	NUP50	O14980	XPO1_HUMAN	XPO1	1	1	1	0	1
P07900	HS90A_HUMAN	HSP90AA1	O14980	XPO1_HUMAN	XPO1	1	1	1	0	1
P00533	EGFR_HUMAN	EGFR	O14980	XPO1_HUMAN	XPO1	1	1	1	0	1
Q14145	KEAP1_HUMAN	KEAP1	O14980	XPO1_HUMAN	XPO1	2	1	2	0	3
B4URF7	B4URF7_I33A0	PB2	O15067	PUR4_HUMAN	PFAS	1	1	1	0	1
Q14145	KEAP1_HUMAN	KEAP1	O15067	PUR4_HUMAN	PFAS	2	2	1	0	2
O75323	NIPS2_HUMAN	GBAS	O15067	PUR4_HUMAN	PFAS	2	2	1	0	2
Q91YN9	BAG2_MOUSE	Bag2	O15067	PUR4_HUMAN	PFAS	2	2	2	0	2
Q9UKB1	FBW1B_HUMAN	FBXW11	O15067	PUR4_HUMAN	PFAS	1	1	1	0	1
O14920	IKKB_HUMAN	IKBKB	O15111	IKKA_HUMAN	CHUK	42	12	34	0	52
O15111	IKKA_HUMAN	CHUK	O15111	IKKA_HUMAN	CHUK	7	6	6	0	7
P08238	HS90B_HUMAN	HSP90AB1	O15111	IKKA_HUMAN	CHUK	2	2	1	0	3
P07900	HS90A_HUMAN	HSP90AA1	O15111	IKKA_HUMAN	CHUK	5	3	4	0	7
Q9UGK3	STAP2_HUMAN	STAP2	O15111	IKKA_HUMAN	CHUK	3	3	1	0	4
Q6P5F9	XPO1_MOUSE	Xpo1	O15111	IKKA_HUMAN	CHUK	1	1	1	0	1
P68400	CSK21_HUMAN	CSNK2A1	O15111	IKKA_HUMAN	CHUK	1	1	1	0	1
P10909	CLUS_HUMAN	CLU	O15111	IKKA_HUMAN	CHUK	1	1	1	0	1
Q9Y297	FBW1A_HUMAN	BTRC	O15111	IKKA_HUMAN	CHUK	1	1	1	0	1
P10415	BCL2_HUMAN	BCL2	O15111	IKKA_HUMAN	CHUK	1	1	1	0	1
O14980	XPO1_HUMAN	XPO1	O15111	IKKA_HUMAN	CHUK	1	1	1	0	1
Q96HR8	NAF1_HUMAN	NAF1	O60684	IMA7_HUMAN	KPNA6	2	2	2	0	2
Q14145	KEAP1_HUMAN	KEAP1	O60684	IMA7_HUMAN	KPNA6	2	2	1	0	4
Q13618	CUL3_HUMAN	CUL3	O60684	IMA7_HUMAN	KPNA6	1	1	1	0	1
Q9Y6K9	NEMO_HUMAN	IKBKG	O60684	IMA7_HUMAN	KPNA6	1	1	1	0	1
Q14145	KEAP1_HUMAN	KEAP1	O75083	WDR1_HUMAN	WDR1	1	1	1	0	2
O95817	BAG3_HUMAN	BAG3	O75083	WDR1_HUMAN	WDR1	1	1	1	0	2
Q13618	CUL3_HUMAN	CUL3	O75083	WDR1_HUMAN	WDR1	1	1	1	0	1
Q9Y3Q8	T22D4_HUMAN	TSC22D4	O75157	T22D2_HUMAN	TSC22D2	1	1	1	0	2
Q6P1L5	F117B_HUMAN	FAM117B	O75157	T22D2_HUMAN	TSC22D2	1	1	1	0	1
P12830	CADH1_HUMAN	CDH1	O75323	NIPS2_HUMAN	GBAS	2	2	1	0	2
Q14145	KEAP1_HUMAN	KEAP1	O75323	NIPS2_HUMAN	GBAS	2	2	1	0	2
Q9BXB5	OSB10_HUMAN	OSBPL10	O75323	NIPS2_HUMAN	GBAS	2	2	1	0	2
O95166	GBRAP_HUMAN	GABARAP	O75323	NIPS2_HUMAN	GBAS	4	3	2	0	7
Q9H0R8	GBRL1_HUMAN	GABARAPL1	O75323	NIPS2_HUMAN	GBAS	3	3	1	0	7
P60520	GBRL2_HUMAN	GABARAPL2	O75323	NIPS2_HUMAN	GBAS	4	4	2	0	8
Q9GZQ8	MLP3B_HUMAN	MAP1LC3B	O75323	NIPS2_HUMAN	GBAS	3	3	1	0	5
Q13501	SQSTM_HUMAN	SQSTM1	O75323	NIPS2_HUMAN	GBAS	3	2	2	0	3
Q9H492	MLP3A_HUMAN	MAP1LC3A	O75323	NIPS2_HUMAN	GBAS	2	2	1	0	5
O75323	NIPS2_HUMAN	GBAS	O75323	NIPS2_HUMAN	GBAS	1	1	1	0	1
Q6P5F9	XPO1_MOUSE	Xpo1	O75323	NIPS2_HUMAN	GBAS	1	1	1	0	1
Q62074	KPCI_MOUSE	Prkci	O75323	NIPS2_HUMAN	GBAS	2	2	2	0	2
Q13618	CUL3_HUMAN	CUL3	O75323	NIPS2_HUMAN	GBAS	1	1	1	0	1
O14980	XPO1_HUMAN	XPO1	O75323	NIPS2_HUMAN	GBAS	1	1	1	0	1
O88351	IKKB_MOUSE	Ikbkb	O88351	IKKB_MOUSE	Ikbkb	1	1	1	0	1
Q14145	KEAP1_HUMAN	KEAP1	O88351	IKKB_MOUSE	Ikbkb	2	2	1	0	2
Q9Y6K9	NEMO_HUMAN	IKBKG	O88351	IKKB_MOUSE	Ikbkb	1	1	1	0	1
Q8WUM4	PDC6I_HUMAN	PDCD6IP	O95166	GBRAP_HUMAN	GABARAP	1	1	1	0	1
Q9GZQ8	MLP3B_HUMAN	MAP1LC3B	O95166	GBRAP_HUMAN	GABARAP	2	2	1	0	2
Q9H0R8	GBRL1_HUMAN	GABARAPL1	O95166	GBRAP_HUMAN	GABARAP	2	2	1	0	6
O95166	GBRAP_HUMAN	GABARAP	O95166	GBRAP_HUMAN	GABARAP	4	4	3	0	8
Q9H492	MLP3A_HUMAN	MAP1LC3A	O95166	GBRAP_HUMAN	GABARAP	1	1	1	0	1
O95198	KLHL2_HUMAN	KLHL2	O95198	KLHL2_HUMAN	KLHL2	5	4	3	0	5
Q14145	KEAP1_HUMAN	KEAP1	O95198	KLHL2_HUMAN	KLHL2	3	3	2	0	3
Q9UH77	KLHL3_HUMAN	KLHL3	O95198	KLHL2_HUMAN	KLHL2	2	2	1	0	2
Q96HA8	NTAQ1_HUMAN	WDYHV1	O95198	KLHL2_HUMAN	KLHL2	2	2	1	0	2
Q13618	CUL3_HUMAN	CUL3	O95198	KLHL2_HUMAN	KLHL2	6	5	3	0	6
Q9Y6K9	NEMO_HUMAN	IKBKG	O95817	BAG3_HUMAN	BAG3	2	2	1	0	2
P54274	TERF1_HUMAN	TERF1	O95817	BAG3_HUMAN	BAG3	1	1	1	0	1
O95817	BAG3_HUMAN	BAG3	O95817	BAG3_HUMAN	BAG3	1	1	1	0	2
Q9UKB1	FBW1B_HUMAN	FBXW11	O95817	BAG3_HUMAN	BAG3	1	1	1	0	1
P12830	CADH1_HUMAN	CDH1	O95817	BAG3_HUMAN	BAG3	1	1	1	0	1
Q9NX65	ZSC32_HUMAN	ZSCAN32	O95817	BAG3_HUMAN	BAG3	1	1	1	0	1
Q96BE0	Q96BE0_HUMAN	Q96BE0	P00533	EGFR_HUMAN	EGFR	1	1	1	0	2
P00533	EGFR_HUMAN	EGFR	P00533	EGFR_HUMAN	EGFR	28	13	24	9	30
P60520	GBRL2_HUMAN	GABARAPL2	P00533	EGFR_HUMAN	EGFR	3	3	1	0	3
Q9Y6K9	NEMO_HUMAN	IKBKG	P00533	EGFR_HUMAN	EGFR	4	4	2	0	4
Q02156	KPCE_HUMAN	PRKCE	P00533	EGFR_HUMAN	EGFR	3	3	2	0	3
Q9H492	MLP3A_HUMAN	MAP1LC3A	P00533	EGFR_HUMAN	EGFR	1	1	1	0	1
Q14145	KEAP1_HUMAN	KEAP1	P00533	EGFR_HUMAN	EGFR	2	2	1	0	3
Q14145	KEAP1_HUMAN	KEAP1	P02452	CO1A1_HUMAN	COL1A1	2	2	1	0	2
P0CG48	UBC_HUMAN	UBC	P02452	CO1A1_HUMAN	COL1A1	1	1	1	0	1
P02452	CO1A1_HUMAN	COL1A1	P02452	CO1A1_HUMAN	COL1A1	1	1	1	0	1
Q04206	TF65_HUMAN	RELA	P02458	CO2A1_HUMAN	COL2A1	2	2	1	0	2
P02458	CO2A1_HUMAN	COL2A1	P02458	CO2A1_HUMAN	COL2A1	1	1	1	0	1
P02724	GLPA_HUMAN	GYPA	P02724	GLPA_HUMAN	GYPA	3	3	3	0	4
P03431	RDRP_I34A1	PB1	P03431	RDRP_I34A1	PB1	1	1	1	0	1
Q9H0R8	GBRL1_HUMAN	GABARAPL1	P04040	CATA_HUMAN	CAT	1	1	1	0	1
P04040	CATA_HUMAN	CAT	P04040	CATA_HUMAN	CAT	3	3	3	0	3
P05067	A4_HUMAN	APP	P05067	A4_HUMAN	APP	42	18	17	0	67
P04040	CATA_HUMAN	CAT	P05067	A4_HUMAN	APP	2	2	2	0	3
Q9NPJ6	MED4_HUMAN	MED4	P05067	A4_HUMAN	APP	1	1	1	0	2
P00533	EGFR_HUMAN	EGFR	P05067	A4_HUMAN	APP	3	3	2	0	3
P10909	CLUS_HUMAN	CLU	P05067	A4_HUMAN	APP	3	2	3	0	3
P60520	GBRL2_HUMAN	GABARAPL2	P05067	A4_HUMAN	APP	1	1	1	0	1
Q9NPC3	CIP1_HUMAN	CCNB1IP1	P05067	A4_HUMAN	APP	1	1	1	0	1
P06748	NPM_HUMAN	NPM1	P05067	A4_HUMAN	APP	1	1	1	0	1
Q13618	CUL3_HUMAN	CUL3	P05067	A4_HUMAN	APP	2	1	2	0	2
Q86SX6	GLRX5_HUMAN	GLRX5	P05067	A4_HUMAN	APP	1	1	1	0	1
Q9BYX4	IFIH1_HUMAN	IFIH1	P05067	A4_HUMAN	APP	1	1	1	0	1
Q06546	GABPA_HUMAN	GABPA	P05067	A4_HUMAN	APP	1	1	1	0	1
Q9P0N9	TBCD7_HUMAN	TBC1D7	P05067	A4_HUMAN	APP	1	1	1	0	1
Q9H492	MLP3A_HUMAN	MAP1LC3A	P05067	A4_HUMAN	APP	1	1	1	0	1
P68400	CSK21_HUMAN	CSNK2A1	P05067	A4_HUMAN	APP	1	1	1	0	1
P27144	KAD4_HUMAN	AK4	P05067	A4_HUMAN	APP	1	1	1	0	1
Q9UIM3	FKBPL_HUMAN	FKBPL	P05067	A4_HUMAN	APP	1	1	1	0	1
P62877	RBX1_HUMAN	RBX1	P05067	A4_HUMAN	APP	1	1	1	0	1
Q8IY92	SLX4_HUMAN	SLX4	P05067	A4_HUMAN	APP	1	1	1	0	1
Q96JC9	EAF1_HUMAN	EAF1	P05067	A4_HUMAN	APP	1	1	1	0	1
Q86UX7	URP2_HUMAN	FERMT3	P05067	A4_HUMAN	APP	1	1	1	0	1
P61218	RPAB2_HUMAN	POLR2F	P05067	A4_HUMAN	APP	1	1	1	0	1
P48444	COPD_HUMAN	ARCN1	P05067	A4_HUMAN	APP	1	1	1	0	1
Q13257	MD2L1_HUMAN	MAD2L1	P05067	A4_HUMAN	APP	1	1	1	0	1
Q9UKX7	NUP50_HUMAN	NUP50	P05067	A4_HUMAN	APP	1	1	1	0	1
Q9NY33	DPP3_HUMAN	DPP3	P05067	A4_HUMAN	APP	1	1	1	0	1
Q9UKB1	FBW1B_HUMAN	FBXW11	P05067	A4_HUMAN	APP	1	1	1	0	1
P00533	EGFR_HUMAN	EGFR	P05362	ICAM1_HUMAN	ICAM1	3	3	1	0	3
P0CG48	UBC_HUMAN	UBC	P05362	ICAM1_HUMAN	ICAM1	1	1	1	0	1
P05362	ICAM1_HUMAN	ICAM1	P05362	ICAM1_HUMAN	ICAM1	1	1	1	2	1
P54274	TERF1_HUMAN	TERF1	P06454	PTMA_HUMAN	PTMA	2	2	1	0	2
P0CG48	UBC_HUMAN	UBC	P06748	NPM_HUMAN	NPM1	3	2	3	0	3
Q9H492	MLP3A_HUMAN	MAP1LC3A	P06748	NPM_HUMAN	NPM1	1	1	1	0	1
Q9GZQ8	MLP3B_HUMAN	MAP1LC3B	P06748	NPM_HUMAN	NPM1	1	1	1	0	1
P60520	GBRL2_HUMAN	GABARAPL2	P06748	NPM_HUMAN	NPM1	1	1	1	0	1
Q9H0R8	GBRL1_HUMAN	GABARAPL1	P06748	NPM_HUMAN	NPM1	1	1	1	0	1
O95166	GBRAP_HUMAN	GABARAP	P06748	NPM_HUMAN	NPM1	1	1	1	0	1
P68400	CSK21_HUMAN	CSNK2A1	P06748	NPM_HUMAN	NPM1	2	2	1	0	2
P06748	NPM_HUMAN	NPM1	P06748	NPM_HUMAN	NPM1	5	3	4	0	5
P00533	EGFR_HUMAN	EGFR	P06748	NPM_HUMAN	NPM1	2	2	1	0	5
P10914	IRF1_HUMAN	IRF1	P06748	NPM_HUMAN	NPM1	2	2	1	0	2
Q13618	CUL3_HUMAN	CUL3	P06748	NPM_HUMAN	NPM1	1	1	1	0	1
Q13617	CUL2_HUMAN	CUL2	P06748	NPM_HUMAN	NPM1	1	1	1	0	1
P05362	ICAM1_HUMAN	ICAM1	P06748	NPM_HUMAN	NPM1	1	1	1	0	1
P07900	HS90A_HUMAN	HSP90AA1	P07900	HS90A_HUMAN	HSP90AA1	8	7	6	0	8
P12830	CADH1_HUMAN	CDH1	P07900	HS90A_HUMAN	HSP90AA1	3	3	1	0	3
Q04206	TF65_HUMAN	RELA	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
P05067	A4_HUMAN	APP	P07900	HS90A_HUMAN	HSP90AA1	2	2	2	0	3
P00533	EGFR_HUMAN	EGFR	P07900	HS90A_HUMAN	HSP90AA1	10	5	9	0	13
Q9H492	MLP3A_HUMAN	MAP1LC3A	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
P60520	GBRL2_HUMAN	GABARAPL2	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
Q9H0R8	GBRL1_HUMAN	GABARAPL1	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
O95166	GBRAP_HUMAN	GABARAP	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
Q91YN9	BAG2_MOUSE	Bag2	P07900	HS90A_HUMAN	HSP90AA1	2	2	2	0	2
P23258	TBG1_HUMAN	TUBG1	P07900	HS90A_HUMAN	HSP90AA1	4	3	4	0	4
Q9UIM3	FKBPL_HUMAN	FKBPL	P07900	HS90A_HUMAN	HSP90AA1	3	1	3	0	6
P10415	BCL2_HUMAN	BCL2	P07900	HS90A_HUMAN	HSP90AA1	2	1	2	0	3
Q13618	CUL3_HUMAN	CUL3	P07900	HS90A_HUMAN	HSP90AA1	2	1	2	0	2
Q13617	CUL2_HUMAN	CUL2	P07900	HS90A_HUMAN	HSP90AA1	2	1	2	0	2
P06748	NPM_HUMAN	NPM1	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
P10914	IRF1_HUMAN	IRF1	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
O95817	BAG3_HUMAN	BAG3	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
Q14145	KEAP1_HUMAN	KEAP1	P07900	HS90A_HUMAN	HSP90AA1	3	2	2	0	3
P25205	MCM3_HUMAN	MCM3	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
Q14004	CDK13_HUMAN	CDK13	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	2
P00533	EGFR_HUMAN	EGFR	P08238	HS90B_HUMAN	HSP90AB1	11	8	8	0	14
P07900	HS90A_HUMAN	HSP90AA1	P08238	HS90B_HUMAN	HSP90AB1	11	4	9	0	18
Q9H492	MLP3A_HUMAN	MAP1LC3A	P08238	HS90B_HUMAN	HSP90AB1	1	1	1	0	1
Q9GZQ8	MLP3B_HUMAN	MAP1LC3B	P08238	HS90B_HUMAN	HSP90AB1	1	1	1	0	1
P60520	GBRL2_HUMAN	GABARAPL2	P08238	HS90B_HUMAN	HSP90AB1	1	1	1	0	1
Q9H0R8	GBRL1_HUMAN	GABARAPL1	P08238	HS90B_HUMAN	HSP90AB1	1	1	1	0	1
O95166	GBRAP_HUMAN	GABARAP	P08238	HS90B_HUMAN	HSP90AB1	1	1	1	0	1
P54274	TERF1_HUMAN	TERF1	P08238	HS90B_HUMAN	HSP90AB1	2	2	1	0	2
P68400	CSK21_HUMAN	CSNK2A1	P08238	HS90B_HUMAN	HSP90AB1	2	2	1	0	2
Q13617	CUL2_HUMAN	CUL2	P08238	HS90B_HUMAN	HSP90AB1	2	2	2	0	2
O14682	ENC1_HUMAN	ENC1	P08238	HS90B_HUMAN	HSP90AB1	1	1	1	0	1
P08238	HS90B_HUMAN	HSP90AB1	P08238	HS90B_HUMAN	HSP90AB1	3	3	3	0	3
Q9UIM3	FKBPL_HUMAN	FKBPL	P08238	HS90B_HUMAN	HSP90AB1	2	2	1	0	3
Q91YN9	BAG2_MOUSE	Bag2	P08238	HS90B_HUMAN	HSP90AB1	2	2	2	0	2
P23258	TBG1_HUMAN	TUBG1	P08238	HS90B_HUMAN	HSP90AB1	3	2	3	0	3
P06748	NPM_HUMAN	NPM1	P08238	HS90B_HUMAN	HSP90AB1	1	1	1	0	1
O95817	BAG3_HUMAN	BAG3	P08238	HS90B_HUMAN	HSP90AB1	2	2	2	0	2
P0CG48	UBC_HUMAN	UBC	P08238	HS90B_HUMAN	HSP90AB1	1	1	1	0	1
Q14004	CDK13_HUMAN	CDK13	P08238	HS90B_HUMAN	HSP90AB1	1	1	1	0	2
P12830	CADH1_HUMAN	CDH1	P08238	HS90B_HUMAN	HSP90AB1	1	1	1	0	1
Q13501	SQSTM_HUMAN	SQSTM1	P0CG48	UBC_HUMAN	UBC	34	6	26	0	40
Q9UKB1	FBW1B_HUMAN	FBXW11	P0CG48	UBC_HUMAN	UBC	1	1	1	0	1
Q5JTC6	AMER1_HUMAN	AMER1	P0CG48	UBC_HUMAN	UBC	1	1	1	0	1
P00533	EGFR_HUMAN	EGFR	P0CG48	UBC_HUMAN	UBC	2	1	2	0	2
P51784	UBP11_HUMAN	USP11	P0CG48	UBC_HUMAN	UBC	1	1	1	0	1
Q13618	CUL3_HUMAN	CUL3	P0CG48	UBC_HUMAN	UBC	4	2	4	0	4
