UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Experiments	Methods	Publications	3DStructures	CurationEvents
B8A4K4	B8A4K4_HUMAN	CYSRT1	Q5T753	LCE1E_HUMAN	LCE1E	2	2	1	0	4
B8A4K4	B8A4K4_HUMAN	CYSRT1	Q5TA81	LCE2C_HUMAN	LCE2C	2	2	1	0	4
B8A4K4	B8A4K4_HUMAN	CYSRT1	B8A4K4	B8A4K4_HUMAN	CYSRT1	2	2	1	0	2
B8A4K4	B8A4K4_HUMAN	CYSRT1	Q9BYR2	KRA45_HUMAN	KRTAP4-5	2	2	1	0	2
B8A4K4	B8A4K4_HUMAN	CYSRT1	Q6L8H1	KRA54_HUMAN	KRTAP5-4	2	2	1	0	2
B8A4K4	B8A4K4_HUMAN	CYSRT1	Q6L8G4	KR511_HUMAN	KRTAP5-11	2	2	1	0	2
B8A4K4	B8A4K4_HUMAN	CYSRT1	Q6L8G8	KRA57_HUMAN	KRTAP5-7	2	2	1	0	2
B8A4K4	B8A4K4_HUMAN	CYSRT1	Q5TA77	LCE3B_HUMAN	LCE3B	2	2	1	0	4
B8A4K4	B8A4K4_HUMAN	CYSRT1	Q5T754	LCE1F_HUMAN	LCE1F	2	2	1	0	4
B8A4K4	B8A4K4_HUMAN	CYSRT1	Q5TA76	LCE3A_HUMAN	LCE3A	2	2	1	0	4
B8A4K4	B8A4K4_HUMAN	CYSRT1	Q9BYR3	KRA44_HUMAN	KRTAP4-4	2	2	1	0	2
B8A4K4	B8A4K4_HUMAN	CYSRT1	P60014	KR10A_HUMAN	KRTAP10-10	2	2	1	0	2
B8A4K4	B8A4K4_HUMAN	CYSRT1	Q5T751	LCE1C_HUMAN	LCE1C	2	2	1	0	2
P01137	TGFB1_HUMAN	TGFB1	Q5TA76	LCE3A_HUMAN	LCE3A	2	2	1	0	2
P01137	TGFB1_HUMAN	TGFB1	B8A4K4	B8A4K4_HUMAN	CYSRT1	2	2	1	0	2
