UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Experiments	Methods	Publications	3DStructures	CurationEvents
A0A0F7RKT3	A0A0F7RKT3_BACAN	yobO	P19838	NFKB1_HUMAN	NFKB1	1	1	1	0	1
B1AXD8	AKIR2_MOUSE	Akirin2	Q9BYH8	IKBZ_HUMAN	NFKBIZ	2	2	1	0	3
B1AXD8	AKIR2_MOUSE	Akirin2	P19838	NFKB1_HUMAN	NFKB1	1	1	1	0	1
D3DR86	D3DR86_HUMAN	NFKB2	P17066	HSP76_HUMAN	HSPA6	1	1	1	0	1
D3DR86	D3DR86_HUMAN	NFKB2	P41279	M3K8_HUMAN	MAP3K8	1	1	1	0	1
D3DR86	D3DR86_HUMAN	NFKB2	O00221	IKBE_HUMAN	NFKBIE	1	1	1	0	1
O00148	DX39A_HUMAN	DDX39A	O00148	DX39A_HUMAN	DDX39A	4	3	2	0	4
O00148	DX39A_HUMAN	DDX39A	P68366	TBA4A_HUMAN	TUBA4A	1	1	1	0	2
O00148	DX39A_HUMAN	DDX39A	Q71U36	TBA1A_HUMAN	TUBA1A	1	1	1	0	1
O00148	DX39A_HUMAN	DDX39A	P13804	ETFA_HUMAN	ETFA	1	1	1	0	1
O00148	DX39A_HUMAN	DDX39A	Q13509	TBB3_HUMAN	TUBB3	1	1	1	0	1
O00221	IKBE_HUMAN	NFKBIE	Q04864	REL_HUMAN	REL	8	4	5	0	11
O00221	IKBE_HUMAN	NFKBIE	O00221	IKBE_HUMAN	NFKBIE	1	1	1	0	1
O00221	IKBE_HUMAN	NFKBIE	Q04206	TF65_HUMAN	RELA	7	6	3	0	9
O00221	IKBE_HUMAN	NFKBIE	Q01201	RELB_HUMAN	RELB	2	2	2	0	2
O00221	IKBE_HUMAN	NFKBIE	Q9Y618	NCOR2_HUMAN	NCOR2	1	1	1	0	1
O00221	IKBE_HUMAN	NFKBIE	P56524	HDAC4_HUMAN	HDAC4	1	1	1	0	1
O00221	IKBE_HUMAN	NFKBIE	Q9UQL6	HDAC5_HUMAN	HDAC5	1	1	1	0	1
O00221	IKBE_HUMAN	NFKBIE	Q9Y297	FBW1A_HUMAN	BTRC	1	1	1	0	1
O00255	MEN1_HUMAN	MEN1	P19838	NFKB1_HUMAN	NFKB1	6	5	2	0	11
O00255	MEN1_HUMAN	MEN1	Q00653	NFKB2_HUMAN	NFKB2	3	3	1	0	7
O00255	MEN1_HUMAN	MEN1	P24928	RPB1_HUMAN	POLR2A	3	3	2	0	3
O00255	MEN1_HUMAN	MEN1	P34932	HSP74_HUMAN	HSPA4	1	1	1	0	2
O00255	MEN1_HUMAN	MEN1	Q96ST3	SIN3A_HUMAN	SIN3A	2	2	1	0	2
O00255	MEN1_HUMAN	MEN1	Q13547	HDAC1_HUMAN	HDAC1	1	1	1	0	1
O00255	MEN1_HUMAN	MEN1	Q92769	HDAC2_HUMAN	HDAC2	1	1	1	0	1
O00255	MEN1_HUMAN	MEN1	P11142	HSP7C_HUMAN	HSPA8	1	1	1	0	1
O00255	MEN1_HUMAN	MEN1	P62805	H4_HUMAN	HIST4H4	1	1	1	0	1
O00459	P85B_HUMAN	PIK3R2	Q02383	SEMG2_HUMAN	SEMG2	2	2	1	0	2
O00459	P85B_HUMAN	PIK3R2	P04279	SEMG1_HUMAN	SEMG1	2	2	1	0	2
O00459	P85B_HUMAN	PIK3R2	P10275	ANDR_HUMAN	AR	1	1	1	0	14
O00459	P85B_HUMAN	PIK3R2	P11142	HSP7C_HUMAN	HSPA8	1	1	1	0	1
O00459	P85B_HUMAN	PIK3R2	P60709	ACTB_HUMAN	ACTB	1	1	1	0	1
O00459	P85B_HUMAN	PIK3R2	Q9BQE3	TBA1C_HUMAN	TUBA1C	1	1	1	0	1
O00459	P85B_HUMAN	PIK3R2	P34931	HS71L_HUMAN	HSPA1L	1	1	1	0	1
O00459	P85B_HUMAN	PIK3R2	Q01082	SPTB2_HUMAN	SPTBN1	1	1	1	0	1
O00459	P85B_HUMAN	PIK3R2	P0DMV8	HS71A_HUMAN	HSPA1A	1	1	1	0	1
O00459	P85B_HUMAN	PIK3R2	P27986	P85A_HUMAN	PIK3R1	2	1	2	0	3
O00459	P85B_HUMAN	PIK3R2	P17066	HSP76_HUMAN	HSPA6	1	1	1	0	1
O00459	P85B_HUMAN	PIK3R2	P07437	TBB5_HUMAN	TUBB	1	1	1	0	1
O00459	P85B_HUMAN	PIK3R2	Q13085	ACACA_HUMAN	ACACA	1	1	1	0	1
O00459	P85B_HUMAN	PIK3R2	Q92569	P55G_HUMAN	PIK3R3	2	1	2	0	3
O00459	P85B_HUMAN	PIK3R2	P68104	EF1A1_HUMAN	EEF1A1	1	1	1	0	1
O00459	P85B_HUMAN	PIK3R2	P46783	RS10_HUMAN	RPS10	1	1	1	0	1
O00505	IMA4_HUMAN	KPNA3	Q04206	TF65_HUMAN	RELA	1	1	1	0	1
O00505	IMA4_HUMAN	KPNA3	P06748	NPM_HUMAN	NPM1	1	1	1	0	1
O00505	IMA4_HUMAN	KPNA3	Q15637	SF01_HUMAN	SF1	1	1	1	0	1
O00505	IMA4_HUMAN	KPNA3	Q9NR30	DDX21_HUMAN	DDX21	4	4	1	0	4
O14543	SOCS3_HUMAN	SOCS3	Q93034	CUL5_HUMAN	CUL5	5	3	4	0	6
O14543	SOCS3_HUMAN	SOCS3	P10275	ANDR_HUMAN	AR	1	1	1	0	1
O14543	SOCS3_HUMAN	SOCS3	P27348	1433T_HUMAN	YWHAQ	2	2	2	0	2
O14543	SOCS3_HUMAN	SOCS3	P19838	NFKB1_HUMAN	NFKB1	1	1	1	0	2
O14543	SOCS3_HUMAN	SOCS3	Q04206	TF65_HUMAN	RELA	1	1	1	0	2
O14543	SOCS3_HUMAN	SOCS3	Q04864	REL_HUMAN	REL	1	1	1	0	2
O14543	SOCS3_HUMAN	SOCS3	P25963	IKBA_HUMAN	NFKBIA	1	1	1	0	2
O14543	SOCS3_HUMAN	SOCS3	Q9UHD2	TBK1_HUMAN	TBK1	2	2	1	0	3
O14654	IRS4_HUMAN	IRS4	Q04206	TF65_HUMAN	RELA	1	1	1	0	1
O14654	IRS4_HUMAN	IRS4	Q71U36	TBA1A_HUMAN	TUBA1A	3	3	2	0	6
O14654	IRS4_HUMAN	IRS4	P27348	1433T_HUMAN	YWHAQ	2	2	1	0	3
O14654	IRS4_HUMAN	IRS4	P04350	TBB4A_HUMAN	TUBB4A	2	2	1	0	3
O14654	IRS4_HUMAN	IRS4	O00459	P85B_HUMAN	PIK3R2	2	2	1	0	3
O14654	IRS4_HUMAN	IRS4	P27986	P85A_HUMAN	PIK3R1	3	3	2	0	4
O14654	IRS4_HUMAN	IRS4	Q92569	P55G_HUMAN	PIK3R3	2	2	1	0	3
O14654	IRS4_HUMAN	IRS4	O14654	IRS4_HUMAN	IRS4	1	1	1	0	1
