UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Experiments	Methods	Publications	3DStructures	CurationEvents
Q9Y2I6	NINL_HUMAN	NINL	A5YKK6	CNOT1_HUMAN	CNOT1	2	2	1	0	3
P19320	VCAM1_HUMAN	VCAM1	A5YKK6	CNOT1_HUMAN	CNOT1	1	1	1	0	3
P02751	FINC_HUMAN	FN1	A5YKK6	CNOT1_HUMAN	CNOT1	2	2	1	0	2
Q8K0V4	CNOT3_MOUSE	Cnot3	A5YKK6	CNOT1_HUMAN	CNOT1	2	2	1	0	2
Q99459	CDC5L_HUMAN	CDC5L	A5YKK6	CNOT1_HUMAN	CNOT1	2	2	1	0	2
P46379	BAG6_HUMAN	BAG6	A5YKK6	CNOT1_HUMAN	CNOT1	2	2	2	0	2
Q9NWT6	HIF1N_HUMAN	HIF1AN	A5YKK6	CNOT1_HUMAN	CNOT1	1	1	1	0	1
O14980	XPO1_HUMAN	XPO1	A5YKK6	CNOT1_HUMAN	CNOT1	1	1	1	0	1
Q5TC82	RC3H1_HUMAN	RC3H1	A5YKK6	CNOT1_HUMAN	CNOT1	1	1	1	0	2
P19320	VCAM1_HUMAN	VCAM1	O14980	XPO1_HUMAN	XPO1	3	2	2	0	5
P04637	P53_HUMAN	TP53	O14980	XPO1_HUMAN	XPO1	2	1	2	0	2
P02751	FINC_HUMAN	FN1	O14980	XPO1_HUMAN	XPO1	2	2	1	0	2
O14980	XPO1_HUMAN	XPO1	O14980	XPO1_HUMAN	XPO1	1	1	1	0	1
O43918	AIRE_HUMAN	AIRE	O14980	XPO1_HUMAN	XPO1	1	1	1	0	1
Q92499	DDX1_HUMAN	DDX1	O14980	XPO1_HUMAN	XPO1	1	1	1	0	1
O95793	STAU1_HUMAN	STAU1	O14980	XPO1_HUMAN	XPO1	1	1	1	0	3
P22102	PUR2_HUMAN	GART	O15067	PUR4_HUMAN	PFAS	1	1	1	0	1
Q8IY67	RAVR1_HUMAN	RAVER1	O15067	PUR4_HUMAN	PFAS	1	1	1	0	1
O43918	AIRE_HUMAN	AIRE	O43918	AIRE_HUMAN	AIRE	7	5	3	0	7
Q8IY67	RAVR1_HUMAN	RAVER1	O75791	GRAP2_HUMAN	GRAP2	2	2	1	0	2
O95793	STAU1_HUMAN	STAU1	O95793	STAU1_HUMAN	STAU1	2	2	2	0	2
Q12834	CDC20_HUMAN	CDC20	O95793	STAU1_HUMAN	STAU1	1	1	1	0	2
Q5TC82	RC3H1_HUMAN	RC3H1	O95793	STAU1_HUMAN	STAU1	1	1	1	0	1
