UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Experiments	Methods	Publications	3DStructures	CurationEvents
P62877	RBX1_HUMAN	RBX1	A0A0G2JQ02	A0A0G2JQ02_HUMAN	PROP1	2	2	1	0	2
P23443	KS6B1_HUMAN	RPS6KB1	B2RQC6	PYR1_MOUSE	Cad	1	1	1	0	1
P55884	EIF3B_HUMAN	EIF3B	O00303	EIF3F_HUMAN	EIF3F	13	5	8	0	17
O00303	EIF3F_HUMAN	EIF3F	O00303	EIF3F_HUMAN	EIF3F	2	2	1	0	2
O15372	EIF3H_HUMAN	EIF3H	O00303	EIF3F_HUMAN	EIF3F	8	5	7	0	14
P23443	KS6B1_HUMAN	RPS6KB1	O00303	EIF3F_HUMAN	EIF3F	3	2	2	0	3
Q6P5F9	XPO1_MOUSE	Xpo1	O00418	EF2K_HUMAN	EEF2K	1	1	1	0	1
P45983	MK08_HUMAN	MAPK8	O00418	EF2K_HUMAN	EEF2K	1	1	1	0	1
P45984	MK09_HUMAN	MAPK9	O00418	EF2K_HUMAN	EEF2K	1	1	1	0	1
P23443	KS6B1_HUMAN	RPS6KB1	O00418	EF2K_HUMAN	EEF2K	2	2	1	0	2
O14980	XPO1_HUMAN	XPO1	O00418	EF2K_HUMAN	EEF2K	1	1	1	0	1
O14746	TERT_HUMAN	TERT	O14746	TERT_HUMAN	TERT	1	1	1	0	1
P12931	SRC_HUMAN	SRC	O14746	TERT_HUMAN	TERT	1	1	1	0	1
O14980	XPO1_HUMAN	XPO1	O14746	TERT_HUMAN	TERT	1	1	1	0	1
Q6P5F9	XPO1_MOUSE	Xpo1	O14939	PLD2_HUMAN	PLD2	1	1	1	0	1
P42345	MTOR_HUMAN	MTOR	O14939	PLD2_HUMAN	PLD2	3	3	1	0	3
P12931	SRC_HUMAN	SRC	O14939	PLD2_HUMAN	PLD2	3	3	1	0	3
P23443	KS6B1_HUMAN	RPS6KB1	O14939	PLD2_HUMAN	PLD2	1	1	1	0	1
O14980	XPO1_HUMAN	XPO1	O14939	PLD2_HUMAN	PLD2	1	1	1	0	1
P08238	HS90B_HUMAN	HSP90AB1	O14980	XPO1_HUMAN	XPO1	2	2	1	0	2
Q09161	NCBP1_HUMAN	NCBP1	O14980	XPO1_HUMAN	XPO1	3	3	3	0	4
Q6P5F9	XPO1_MOUSE	Xpo1	O14980	XPO1_HUMAN	XPO1	2	2	1	0	2
O14980	XPO1_HUMAN	XPO1	O14980	XPO1_HUMAN	XPO1	1	1	1	0	1
P23443	KS6B1_HUMAN	RPS6KB1	O14980	XPO1_HUMAN	XPO1	2	2	1	0	2
P07900	HS90A_HUMAN	HSP90AA1	O14980	XPO1_HUMAN	XPO1	1	1	1	0	1
P53041	PPP5_HUMAN	PPP5C	O14980	XPO1_HUMAN	XPO1	1	1	1	0	1
P08238	HS90B_HUMAN	HSP90AB1	O15372	EIF3H_HUMAN	EIF3H	2	2	1	0	2
P55884	EIF3B_HUMAN	EIF3B	O15372	EIF3H_HUMAN	EIF3H	12	6	8	0	15
O15372	EIF3H_HUMAN	EIF3H	O15372	EIF3H_HUMAN	EIF3H	1	1	1	0	1
Q6P5F9	XPO1_MOUSE	Xpo1	O15372	EIF3H_HUMAN	EIF3H	1	1	1	0	1
P23443	KS6B1_HUMAN	RPS6KB1	O15372	EIF3H_HUMAN	EIF3H	1	1	1	0	1
P07900	HS90A_HUMAN	HSP90AA1	O15372	EIF3H_HUMAN	EIF3H	1	1	1	0	1
O14980	XPO1_HUMAN	XPO1	O15372	EIF3H_HUMAN	EIF3H	1	1	1	0	1
P42345	MTOR_HUMAN	MTOR	O15530	PDPK1_HUMAN	PDPK1	2	2	1	0	2
P31749	AKT1_HUMAN	AKT1	O15530	PDPK1_HUMAN	PDPK1	8	7	7	0	8
O15530	PDPK1_HUMAN	PDPK1	O15530	PDPK1_HUMAN	PDPK1	4	3	4	0	4
Q6P5F9	XPO1_MOUSE	Xpo1	O15530	PDPK1_HUMAN	PDPK1	1	1	1	0	1
P12931	SRC_HUMAN	SRC	O15530	PDPK1_HUMAN	PDPK1	1	1	1	0	1
P35568	IRS1_HUMAN	IRS1	O15530	PDPK1_HUMAN	PDPK1	1	1	1	0	1
O14980	XPO1_HUMAN	XPO1	O15530	PDPK1_HUMAN	PDPK1	1	1	1	0	1
P23443	KS6B1_HUMAN	RPS6KB1	O60346	PHLP1_HUMAN	PHLPP1	1	1	1	0	2
P45983	MK08_HUMAN	MAPK8	O60346	PHLP1_HUMAN	PHLPP1	2	2	2	0	2
P08238	HS90B_HUMAN	HSP90AB1	O75469	NR1I2_HUMAN	NR1I2	2	2	1	0	2
O75469	NR1I2_HUMAN	NR1I2	O75469	NR1I2_HUMAN	NR1I2	1	1	1	2	1
P07900	HS90A_HUMAN	HSP90AA1	O75469	NR1I2_HUMAN	NR1I2	1	1	1	0	1
P23443	KS6B1_HUMAN	RPS6KB1	O75469	NR1I2_HUMAN	NR1I2	1	1	1	0	1
P07900	HS90A_HUMAN	HSP90AA1	O94763	RMP_HUMAN	URI1	2	2	1	0	3
Q6P5F9	XPO1_MOUSE	Xpo1	O94763	RMP_HUMAN	URI1	1	1	1	0	1
O94763	RMP_HUMAN	URI1	O94763	RMP_HUMAN	URI1	2	2	1	0	2
P23443	KS6B1_HUMAN	RPS6KB1	O94763	RMP_HUMAN	URI1	1	1	1	0	1
P46934	NEDD4_HUMAN	NEDD4	O94763	RMP_HUMAN	URI1	1	1	1	0	1
O14980	XPO1_HUMAN	XPO1	O94763	RMP_HUMAN	URI1	1	1	1	0	1
O95644	NFAC1_HUMAN	NFATC1	O95644	NFAC1_HUMAN	NFATC1	1	1	1	0	2
Q92831	KAT2B_HUMAN	KAT2B	O95644	NFAC1_HUMAN	NFATC1	1	1	1	0	1
P05067	A4_HUMAN	APP	P05067	A4_HUMAN	APP	42	18	17	0	67
Q13526	PIN1_HUMAN	PIN1	P05067	A4_HUMAN	APP	3	3	1	0	5
Q00987	MDM2_HUMAN	MDM2	P05067	A4_HUMAN	APP	2	2	1	0	2
P35568	IRS1_HUMAN	IRS1	P05067	A4_HUMAN	APP	1	1	1	0	1
Q13057	COASY_HUMAN	COASY	P05067	A4_HUMAN	APP	1	1	1	0	1
P05452	TETN_HUMAN	CLEC3B	P05067	A4_HUMAN	APP	1	1	1	0	1
P23443	KS6B1_HUMAN	RPS6KB1	P05067	A4_HUMAN	APP	1	1	1	0	1
P68400	CSK21_HUMAN	CSNK2A1	P05067	A4_HUMAN	APP	1	1	1	0	1
P43405	KSYK_HUMAN	SYK	P05067	A4_HUMAN	APP	1	1	1	0	1
O15530	PDPK1_HUMAN	PDPK1	P05067	A4_HUMAN	APP	1	1	1	0	1
O94763	RMP_HUMAN	URI1	P05067	A4_HUMAN	APP	1	1	1	0	1
Q13153	PAK1_HUMAN	PAK1	P05067	A4_HUMAN	APP	1	1	1	0	1
P11441	UBL4A_HUMAN	UBL4A	P05067	A4_HUMAN	APP	1	1	1	0	1
P31749	AKT1_HUMAN	AKT1	P05067	A4_HUMAN	APP	1	1	1	0	1
P62877	RBX1_HUMAN	RBX1	P05067	A4_HUMAN	APP	1	1	1	0	1
P53041	PPP5_HUMAN	PPP5C	P05067	A4_HUMAN	APP	1	1	1	0	1
P06730	IF4E_HUMAN	EIF4E	P05067	A4_HUMAN	APP	1	1	1	0	1
Q05195	MAD1_HUMAN	MXD1	P05067	A4_HUMAN	APP	1	1	1	0	1
Q8TB45	DPTOR_HUMAN	DEPTOR	P05067	A4_HUMAN	APP	1	1	1	0	1
Q15831	STK11_HUMAN	STK11	P05067	A4_HUMAN	APP	1	1	1	0	1
Q06187	BTK_HUMAN	BTK	P05067	A4_HUMAN	APP	1	1	1	0	1
O00303	EIF3F_HUMAN	EIF3F	P05067	A4_HUMAN	APP	1	1	1	0	1
Q92519	TRIB2_HUMAN	TRIB2	P05067	A4_HUMAN	APP	1	1	1	0	1
P45983	MK08_HUMAN	MAPK8	P05067	A4_HUMAN	APP	3	2	2	0	3
P23443	KS6B1_HUMAN	RPS6KB1	P05452	TETN_HUMAN	CLEC3B	1	1	1	0	2
P05452	TETN_HUMAN	CLEC3B	P05452	TETN_HUMAN	CLEC3B	1	1	1	0	1
O00418	EF2K_HUMAN	EEF2K	P06493	CDK1_HUMAN	CDK1	4	4	1	0	5
P07948	LYN_HUMAN	LYN	P06493	CDK1_HUMAN	CDK1	4	3	2	0	5
Q13526	PIN1_HUMAN	PIN1	P06493	CDK1_HUMAN	CDK1	1	1	1	0	1
P06493	CDK1_HUMAN	CDK1	P06493	CDK1_HUMAN	CDK1	3	2	3	1	3
Q09472	EP300_HUMAN	EP300	P06493	CDK1_HUMAN	CDK1	2	2	1	0	2
P08151	GLI1_HUMAN	GLI1	P06493	CDK1_HUMAN	CDK1	1	1	1	0	1
Q13541	4EBP1_HUMAN	EIF4EBP1	P06730	IF4E_HUMAN	EIF4E	43	17	34	2	45
P55884	EIF3B_HUMAN	EIF3B	P06730	IF4E_HUMAN	EIF4E	3	2	2	0	9
O15372	EIF3H_HUMAN	EIF3H	P06730	IF4E_HUMAN	EIF4E	1	1	1	0	1
P67775	PP2AA_HUMAN	PPP2CA	P06730	IF4E_HUMAN	EIF4E	2	2	1	0	3
P35568	IRS1_HUMAN	IRS1	P06730	IF4E_HUMAN	EIF4E	1	1	1	0	1
P06730	IF4E_HUMAN	EIF4E	P06730	IF4E_HUMAN	EIF4E	1	1	1	0	1
P23588	IF4B_HUMAN	EIF4B	P06730	IF4E_HUMAN	EIF4E	1	1	1	0	1
O00303	EIF3F_HUMAN	EIF3F	P06730	IF4E_HUMAN	EIF4E	1	1	1	0	1
Q8N122	RPTOR_HUMAN	RPTOR	P06730	IF4E_HUMAN	EIF4E	1	1	1	0	1
P07900	HS90A_HUMAN	HSP90AA1	P07900	HS90A_HUMAN	HSP90AA1	8	7	6	0	8
P05067	A4_HUMAN	APP	P07900	HS90A_HUMAN	HSP90AA1	2	2	2	0	3
Q00005	2ABB_HUMAN	PPP2R2B	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
P31749	AKT1_HUMAN	AKT1	P07900	HS90A_HUMAN	HSP90AA1	10	4	8	0	10
P28482	MK01_HUMAN	MAPK1	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
O14746	TERT_HUMAN	TERT	P07900	HS90A_HUMAN	HSP90AA1	8	3	6	0	8
O15530	PDPK1_HUMAN	PDPK1	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
Q00987	MDM2_HUMAN	MDM2	P07900	HS90A_HUMAN	HSP90AA1	7	4	4	0	7
P11441	UBL4A_HUMAN	UBL4A	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
P06493	CDK1_HUMAN	CDK1	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
P07948	LYN_HUMAN	LYN	P07948	LYN_HUMAN	LYN	3	3	3	0	3
P12931	SRC_HUMAN	SRC	P07948	LYN_HUMAN	LYN	3	2	3	0	3
P08238	HS90B_HUMAN	HSP90AB1	P07948	LYN_HUMAN	LYN	1	1	1	0	1
