UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Experiments	Methods	Publications	3DStructures	CurationEvents
A8MVS5	HIDE1_HUMAN	HIDE1	B8A4K4	B8A4K4_HUMAN	CYSRT1	2	2	1	0	2
A8MVS5	HIDE1_HUMAN	HIDE1	P29597	TYK2_HUMAN	TYK2	1	1	1	0	1
B1AZP2	DLGP4_MOUSE	Dlgap4	P29597	TYK2_HUMAN	TYK2	1	1	1	0	1
B8A4K4	B8A4K4_HUMAN	CYSRT1	B8A4K4	B8A4K4_HUMAN	CYSRT1	2	2	1	0	2
B8PZP6	B8PZP6_9MONO	P	P29597	TYK2_HUMAN	TYK2	1	1	1	0	1
O14744	ANM5_HUMAN	PRMT5	O14744	ANM5_HUMAN	PRMT5	6	5	5	0	7
O14744	ANM5_HUMAN	PRMT5	O60674	JAK2_HUMAN	JAK2	6	6	2	0	7
O14744	ANM5_HUMAN	PRMT5	P29597	TYK2_HUMAN	TYK2	2	2	1	0	2
O14744	ANM5_HUMAN	PRMT5	P52333	JAK3_HUMAN	JAK3	2	2	1	0	2
O14744	ANM5_HUMAN	PRMT5	P23458	JAK1_HUMAN	JAK1	2	2	1	0	2
O14836	TR13B_HUMAN	TNFRSF13B	P29597	TYK2_HUMAN	TYK2	1	1	1	0	1
O14933	UB2L6_HUMAN	UBE2L6	O43255	SIAH2_HUMAN	SIAH2	2	2	1	0	2
O14933	UB2L6_HUMAN	UBE2L6	O14933	UB2L6_HUMAN	UBE2L6	2	2	1	0	2
O15524	SOCS1_HUMAN	SOCS1	O60674	JAK2_HUMAN	JAK2	16	4	11	0	17
O15524	SOCS1_HUMAN	SOCS1	P46109	CRKL_HUMAN	CRKL	3	3	2	0	3
O15524	SOCS1_HUMAN	SOCS1	P15498	VAV_HUMAN	VAV1	3	2	2	0	3
O15524	SOCS1_HUMAN	SOCS1	P52333	JAK3_HUMAN	JAK3	1	1	1	0	1
O15524	SOCS1_HUMAN	SOCS1	P10912	GHR_HUMAN	GHR	3	3	1	0	3
O15524	SOCS1_HUMAN	SOCS1	P06241	FYN_HUMAN	FYN	2	2	1	0	2
O15524	SOCS1_HUMAN	SOCS1	P35568	IRS1_HUMAN	IRS1	3	2	2	0	3
O15524	SOCS1_HUMAN	SOCS1	P23458	JAK1_HUMAN	JAK1	2	2	2	0	2
O43255	SIAH2_HUMAN	SIAH2	P15498	VAV_HUMAN	VAV1	4	4	1	0	4
O43255	SIAH2_HUMAN	SIAH2	O43255	SIAH2_HUMAN	SIAH2	3	2	3	0	3
