	UniprotID_A	UniprotID_B
0	Q13555	O60266
1	Q8TAV4	O60266
2	P07550	O60266
3	Q9HBU9	O60266
4	P17931	O60266
5	Q16281	O60266
6	Q9HBX9	O60266
7	Q9Y5G8	O60266
8	Q8IYV9	O60266
9	Q8IV38	O60266
10	P40259	O60266
11	Q96FT7	O60266
12	Q2Y0W8	O60266
13	O00624	O60266
14	P30926	O60266
15	Q8NAC3	O60266
16	P07550	P07550
17	P31016	P07550
18	P17931	P17931
19	O60266	P31016
20	O60266	P49286
21	P49286	P49286
22	Q13555	Q13555
23	Q9HBX9	Q9HBX9
24	A5PKU2	P25025
25	O08774	P25025
26	O14924	O14924
27	O14924	P04899
28	O14924	P08754
29	O14924	P25025
30	O95782	P25025
31	P02775	P02775
32	P02775	P25025
33	P02775	P25024
34	P03366	P03366
35	P03366	P25025
36	P04899	P25025
37	P04899	P08754
38	P08754	P08754
39	P09341	P09341
40	P09341	P25025
41	P09341	P25024
42	P10145	P10145
43	P10145	P04899
44	P10145	P25024
45	P19875	P19875
46	P19875	P09341
47	P19875	P19876
48	P19876	P09341
49	P25024	A5PKU2
50	P25024	P25024
51	P25024	O95837
52	P25024	P80162
53	P25024	P19875
54	P25024	P19876
55	P25024	P30679
56	P25024	P04899
57	P25025	Q81YE5
58	P25025	Q81YE8
59	P25025	Q7CJU0
60	P25025	P10145
61	P25025	P25025
62	P25025	P49407
63	P25025	P25024
64	P25025	P67775
65	P25025	Q9ULV0
66	P25025	P50502
67	P25025	O95837
68	P25025	P08754
69	P25025	P80162
70	P25025	P19875
71	P25025	P19876
72	P25025	P30679
73	P25025	Q92664
74	P35348	P25025
75	P35348	P25024
76	P42261	P25025
77	P42261	P42261
78	P42830	P25025
79	P42830	P25024
80	P49407	P49407
81	P49407	O95782
82	P54849	P25025
83	Q14318	Q14318
84	Q14318	P25025
85	Q5JY77	P25025
86	Q7L804	Q7L804
87	Q7L804	O95782
88	Q7L804	Q9ULV0
89	Q7L804	P25025
90	Q81KI9	P25025
91	Q8WVX3	P25025
92	Q9BVK8	P25025
93	Q9HD20	P25025
94	Q9NRQ5	P25025
95	P45973	O43463
96	Q92769	O43463
97	Q15910	O43463
98	O95243	O43463
99	Q13185	O43463
100	Q9Y6K1	O43463
101	Q16576	O43463
102	Q09028	O43463
103	Q9UBC3	O43463
104	Q96KQ7	O43463
105	Q15047	O43463
106	P51608	O43463
107	Q96T88	O43463
108	Q6P1J9	O43463
109	O43463	O43463
110	Q9UIF9	O60264
111	Q92769	O60264
112	Q9UBC3	O60264
113	P26358	O60264
114	Q93034	O60264
115	Q13547	O60264
116	O60264	O60264
117	Q15022	O60264
118	O75530	O60264
119	Q16576	O60264
120	O75530	O75530
121	Q9UBC3	O75530
122	Q13619	O75530
123	Q96EB6	O75530
124	Q15910	O75530
125	Q15714	O75530
126	P46783	O75530
127	Q02539	O75530
128	Q15843	O75925
129	P16220	O75925
130	P63279	O75925
131	O75925	O75925
132	P09874	O75925
133	Q14839	O94776
134	P26358	O94776
135	Q15910	O94776
136	Q15672	O94776
137	Q13618	O94776
138	Q13263	O94776
139	Q9UBC3	O94776
140	Q9UBC3	O95239
141	O75530	O95239
142	Q9UBC3	O95243
143	Q9UBC3	O95347
144	P09874	P09874
145	P17947	P09874
146	Q9UBC3	P09874
147	Q15843	P09874
148	Q13263	P09874
149	Q9BPX3	P09874
150	Q96EB6	P09874
151	Q96PU4	P09874
152	Q14839	P09874
153	Q15843	P0CG48
154	P09874	P0CG48
155	Q9UBC3	P0CG48
156	Q13619	P0CG48
157	Q9QR71	P0CG48
158	Q13618	P0CG48
159	Q93034	P0CG48
160	Q13617	P0CG48
161	P0CG48	P0CG48
162	Q9BPX3	P0CG48
163	Q6P1J9	P0CG48
164	P16220	P16220
165	Q9UKY1	P16220
166	O60264	P16220
167	Q9UBC3	P16220
168	Q96EB6	P16220
169	Q9UJW3	P16220
170	P51608	P17947
171	Q13547	P17947
172	Q6PD62	P19387
173	Q8WVC0	P19387
174	Q96B02	P19387
175	P52434	P19387
176	P19387	P19387
177	P24928	P19387
178	P0CG48	P19387
179	Q13618	P19387
180	Q93034	P19387
181	Q9UBC3	P19387
182	Q9Y6K1	P19387
183	O94776	P19387
184	Q9UBC3	P23381
185	P16220	P24928
186	P52434	P24928
187	P09874	P24928
188	Q13185	P24928
189	Q93034	P24928
190	Q13617	P24928
191	P24928	P24928
192	Q9UBC3	P24928
193	Q9Y6K1	P24928
194	O94776	P24928
195	O75530	P24928
196	O75530	P26358
197	Q96T88	P26358
198	Q13547	P26358
199	Q9UBC3	P26358
200	P09874	P26358
201	P26358	P26358
202	O43463	P26358
203	Q9Y6K1	P26358
204	P83916	P26358
205	Q92769	P26358
206	P51608	P26358
207	Q96KQ7	P26358
208	Q9UIF9	P26358
209	Q9NRZ9	P26358
210	Q15022	P26358
211	Q13263	P26358
212	Q9NU63	P26358
213	O95347	P45973
214	P45973	P45973
215	P09874	P45973
216	P26358	P45973
217	Q9UBC3	P46783
218	Q13618	P46783
219	Q93034	P46783
220	Q13616	P46783
221	Q15843	P46783
222	Q6P1J9	P46783
223	Q02539	P46783
224	P26358	P48552
225	P16220	P51608
226	Q96ST3	P51608
227	Q92769	P51608
228	Q9UBC3	P51608
229	P45973	P51608
230	Q9UJW3	P51608
231	P52434	P52434
232	Q9UBC3	P52434
233	Q9Y6K1	P52434
234	P54762	P54762
235	Q9UBC3	P54762
236	P63165	P63165
237	Q9UBC3	P63165
238	Q13569	P63165
239	Q96ST3	P63165
240	P63279	P63165
241	P09874	P63165
242	O75925	P63165
243	Q13263	P63165
244	Q9QR71	P63165
245	P0CG48	P63165
246	Q9UBC3	P63279
247	P16220	P63279
248	P63279	P63279
249	Q15714	P63279
250	Q13330	P63279
251	P09874	P63279
252	Q96PU4	P63279
253	Q96EB6	P63279
254	P45973	P83916
255	Q5FBB7	P83916
256	P83916	P83916
257	O43463	P83916
258	P09874	P83916
259	P51608	P83916
260	P09874	Q02539
261	Q9UBC3	Q02539
262	Q96KQ7	Q02539
263	Q04206	Q04206
264	P09874	Q04206
265	Q96EB6	Q04206
266	P0CG48	Q04206
267	Q13617	Q04206
268	Q15672	Q04206
269	Q92769	Q04206
270	O75925	Q04206
271	P24928	Q04206
272	Q9UJW3	Q04206
273	Q13547	Q09028
274	Q16576	Q09028
275	O94776	Q09028
276	P45973	Q09028
277	Q92769	Q09028
278	Q96ST3	Q09028
279	O75530	Q09028
280	Q15910	Q09028
281	P83916	Q09028
282	Q13185	Q09028
283	O60264	Q09028
284	P16220	Q09028
285	Q02539	Q09028
286	P0CG48	Q09028
287	P26358	Q09028
288	Q13619	Q09028
289	Q9UBC3	Q09028
290	Q13185	Q13185
291	P45973	Q13185
292	P83916	Q13185
293	Q5FBB7	Q13185
294	P51608	Q13185
295	Q13616	Q13185
296	Q15022	Q13185
297	O75530	Q13185
298	Q13185	Q13263
299	P45973	Q13263
300	Q9GZQ8	Q13263
301	P83916	Q13263
302	Q96KQ7	Q13263
303	Q13263	Q13263
304	Q15047	Q13263
305	P0CG48	Q13263
306	Q9NU63	Q13263
307	Q96EB6	Q13263
308	Q13547	Q13263
309	P63279	Q13263
310	Q13618	Q13263
311	Q13617	Q13263
312	Q13616	Q13263
313	Q15910	Q13263
314	Q15022	Q13263
315	O75530	Q13263
316	Q9QR71	Q13263
317	Q96KQ7	Q13330
318	Q09028	Q13330
319	P26358	Q13330
320	O94776	Q13330
321	Q9UBC3	Q13330
322	Q15022	Q13330
323	O75530	Q13330
324	O75530	Q13547
325	O94776	Q13547
326	Q13330	Q13547
327	Q04206	Q13547
328	O43463	Q13547
329	Q15047	Q13547
330	Q16576	Q13547
331	Q96T88	Q13547
332	Q96PU4	Q13547
