#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATG12	ATG5	1861647	1852683	9606.ENSP00000425107	9606.ENSP00000343313	0	0	0	0	0.055	0.987	0.900	0	0.998
MAVS	DDX58	1860317	1857110	9606.ENSP00000401980	9606.ENSP00000369213	0	0	0	0	0.053	0.874	0.900	0	0.987
DDX58	IFIH1	1857110	1845381	9606.ENSP00000369213	9606.ENSP00000263642	0	0	0	0.769	0.758	0	0.900	0	0.974
DDX58	IRF7	1857110	1851145	9606.ENSP00000369213	9606.ENSP00000329411	0	0	0	0	0.642	0	0.900	0	0.962
DDX58	UBE2L6	1857110	1847055	9606.ENSP00000369213	9606.ENSP00000287156	0	0	0	0	0.428	0.115	0.900	0	0.945
IRF7	IFIH1	1851145	1845381	9606.ENSP00000329411	9606.ENSP00000263642	0	0	0	0	0.473	0	0.900	0	0.945
MAVS	IFIH1	1860317	1845381	9606.ENSP00000401980	9606.ENSP00000263642	0	0	0	0	0	0.398	0.900	0	0.937
IKBKE	IFIH1	1854519	1845381	9606.ENSP00000356087	9606.ENSP00000263642	0	0	0	0	0.053	0.395	0.900	0	0.937
UBE2L6	IFIH1	1847055	1845381	9606.ENSP00000287156	9606.ENSP00000263642	0	0	0	0	0.341	0.115	0.900	0	0.936
DDX58	IKBKE	1857110	1854519	9606.ENSP00000369213	9606.ENSP00000356087	0	0	0	0	0.053	0.369	0.900	0	0.935
MAVS	IKBKE	1860317	1854519	9606.ENSP00000401980	9606.ENSP00000356087	0	0	0	0	0.052	0.360	0.900	0	0.934
DAK	IFIH1	1858246	1845381	9606.ENSP00000378360	9606.ENSP00000263642	0	0	0	0	0	0.360	0.900	0	0.933
DDX58	NLRC5	1857110	1845163	9606.ENSP00000369213	9606.ENSP00000262510	0	0	0	0	0.053	0.344	0.900	0	0.932
IFIH1	NLRC5	1845381	1845163	9606.ENSP00000263642	9606.ENSP00000262510	0	0	0	0	0.053	0.344	0.900	0	0.932
MAVS	IRF7	1860317	1851145	9606.ENSP00000401980	9606.ENSP00000329411	0	0	0	0	0.052	0.336	0.900	0	0.931
IKBKE	IRF7	1854519	1851145	9606.ENSP00000356087	9606.ENSP00000329411	0	0	0	0	0.056	0.324	0.900	0	0.930
PCBP2	IFIH1	1853847	1845381	9606.ENSP00000352438	9606.ENSP00000263642	0	0	0	0	0.047	0.324	0.900	0	0.929
ATG12	IFIH1	1861647	1845381	9606.ENSP00000425107	9606.ENSP00000263642	0	0	0	0	0	0.325	0.900	0	0.929
ATG12	DDX58	1861647	1857110	9606.ENSP00000425107	9606.ENSP00000369213	0	0	0	0	0	0.325	0.900	0	0.929
DDX58	ATG5	1857110	1852683	9606.ENSP00000369213	9606.ENSP00000343313	0	0	0	0	0	0.325	0.900	0	0.929
ATG5	IFIH1	1852683	1845381	9606.ENSP00000343313	9606.ENSP00000263642	0	0	0	0	0	0.325	0.900	0	0.929
ATG12	MAVS	1861647	1860317	9606.ENSP00000425107	9606.ENSP00000401980	0	0	0	0	0	0.325	0.900	0	0.929
MAVS	PCBP2	1860317	1853847	9606.ENSP00000401980	9606.ENSP00000352438	0	0	0	0	0	0.324	0.900	0	0.929
MAVS	ATG5	1860317	1852683	9606.ENSP00000401980	9606.ENSP00000343313	0	0	0	0	0	0.325	0.900	0	0.929
DDX58	PCBP2	1857110	1853847	9606.ENSP00000369213	9606.ENSP00000352438	0	0	0	0	0.047	0	0.900	0	0.900
MAVS	NLRC5	1860317	1845163	9606.ENSP00000401980	9606.ENSP00000262510	0	0	0	0	0	0	0.900	0	0.900
MAVS	DAK	1860317	1858246	9606.ENSP00000401980	9606.ENSP00000378360	0	0	0	0	0	0	0.900	0	0.900
DAK	DDX58	1858246	1857110	9606.ENSP00000378360	9606.ENSP00000369213	0	0	0	0	0	0	0.900	0	0.900
IRF7	UBE2L6	1851145	1847055	9606.ENSP00000329411	9606.ENSP00000287156	0	0	0	0	0.511	0	0	0	0.511
