	#node1	node2
0	PRKACB	PRKACA
1	PDE4B	PRKACA
2	PRKACB	ADCY3
3	PRKACA	ADCY3
4	PRKACG	ADCY3
5	PDE4C	ADCY3
6	PDE10A	ADCY3
7	PDE4D	ADCY3
8	PDE4B	ADCY3
9	PDE7A	ADCY3
10	PDE4A	ADCY3
11	PDE6B	ADCY3
12	PRKACB	PDE4B
13	PRKACG	PDE4B
14	PRKACG	PRKACA
15	PRKACG	PRKACB
16	PDE4D	PRKACA
17	PRKACB	PDE4A
18	PDE4C	PRKACA
19	PRKACB	PDE4D
20	PRKACG	PDE4D
21	PRKACG	PDE4A
22	PRKACG	PDE4C
23	PRKACB	PDE4C
24	PRKACA	PDE4A
25	IL8	CXCR1
26	CXCL2	CXCL1
27	CXCL1	IL8
28	CXCL2	IL8
29	CXCR2	CXCR1
30	FPR2	FPR1
31	CXCR2	FPR1
32	CXCR2	PPBP
33	CXCR2	IL8
34	CXCL1	CXCR2
35	CXCL1	CXCR1
36	CXCL2	CXCR2
37	CXCL2	CXCR1
38	ARRB1	CXCR2
39	PPBP	CXCR1
40	GNA14	CXCR2
41	FPR2	CXCR2
42	PPP2CA	CXCR2
43	GNA14	CXCR1
44	FPR1	CXCR1
45	FPR2	CXCR1
46	PPP2CA	ARRB1
47	FPR1	PPBP
48	FPR2	PPBP
49	CXCL2	FPR2
50	CXCL1	FPR2
51	CXCL1	FPR1
52	CXCL2	FPR1
53	IL8	PPBP
54	ARRB1	CXCR1
55	GNA14	FPR2
56	CXCL1	PPBP
57	ARRB1	FPR1
58	ARRB1	IL8
59	CXCL2	PPBP
60	PPP2CA	IL8
61	IL8	FPR1
62	FPR2	IL8
63	GNA14	IL8
64	HDAC2	RBBP7
65	HDAC1	RBBP4
66	HDAC2	RBBP4
67	RBBP7	HDAC1
68	HDAC2	SMARCA5
69	RBBP4	SMARCA5
70	HDAC2	EZH2
71	HDAC1	EZH2
72	HDAC1	SMARCA5
73	RBBP7	EZH2
74	RBBP7	RBBP4
75	HDAC2	HDAC1
76	HDAC1	DNMT1
77	RBBP7	SMARCA5
78	HDAC2	DNMT1
79	H2AFX	DNMT3B
80	H2AFX	DNMT3A
81	DNMT1	EZH2
82	DNMT3B	EZH2
83	RBBP4	DNMT3B
84	RBBP7	DNMT3B
85	RBBP4	EZH2
86	HDAC2	DNMT3B
87	HDAC1	DNMT3B
88	DNMT3B	DNMT3L
89	DNMT3L	DNMT3A
90	DNMT3B	DNMT3A
91	DNMT1	SMARCA5
92	H2AFX	DNMT1
93	DNMT1	DNMT3B
94	EZH2	DNMT3A
95	DNMT1	DNMT3A
96	DNMT3B	SMARCA5
97	H2AFX	SMARCA5
98	H2AFX	EZH2
99	RBBP4	DNMT1
100	H2AFX	HDAC1
101	HDAC2	H2AFX
102	RBBP7	DNMT3A
103	RBBP4	DNMT3A
104	RBBP7	H2AFX
105	H2AFX	RBBP4
