	UniprotID_A	UniprotID_B	GeneName_A	GeneName_B
0	Q13555	O60266	CAMK2G	ADCY3
1	Q8TAV4	O60266	STOML3	ADCY3
2	P07550	O60266	ADRB2	ADCY3
3	Q9HBU9	O60266	POPDC2	ADCY3
4	P17931	O60266	LGALS3	ADCY3
5	Q16281	O60266	CNGA3	ADCY3
6	Q9HBX9	O60266	RXFP1	ADCY3
7	Q9Y5G8	O60266	PCDHGA5	ADCY3
8	Q8IYV9	O60266	IZUMO1	ADCY3
9	Q8IV38	O60266	ANKMY2	ADCY3
10	P40259	O60266	CD79B	ADCY3
11	Q96FT7	O60266	ASIC4	ADCY3
12	Q2Y0W8	O60266	SLC4A8	ADCY3
13	O00624	O60266	SLC17A2	ADCY3
14	P30926	O60266	CHRNB4	ADCY3
15	Q8NAC3	O60266	IL17RC	ADCY3
16	P07550	P07550	ADRB2	ADRB2
17	P31016	P07550	Dlg4	ADRB2
18	P17931	P17931	LGALS3	LGALS3
19	O60266	P31016	ADCY3	Dlg4
20	O60266	P49286	ADCY3	MTNR1B
21	P49286	P49286	MTNR1B	MTNR1B
22	Q13555	Q13555	CAMK2G	CAMK2G
23	Q9HBX9	Q9HBX9	RXFP1	RXFP1
24	A5PKU2	P25025	TUSC5	CXCR2
25	O08774	P25025	Rgs12	CXCR2
26	O14924	O14924	RGS12	RGS12
27	O14924	P04899	RGS12	GNAI2
28	O14924	P08754	RGS12	GNAI3
29	O14924	P25025	RGS12	CXCR2
30	O95782	P25025	AP2A1	CXCR2
31	P02775	P02775	PPBP	PPBP
32	P02775	P25025	PPBP	CXCR2
33	P02775	P25024	PPBP	CXCR1
34	P03366	P03366	gag-pol	gag-pol
35	P03366	P25025	gag-pol	CXCR2
36	P04899	P25025	GNAI2	CXCR2
37	P04899	P08754	GNAI2	GNAI3
38	P08754	P08754	GNAI3	GNAI3
39	P09341	P09341	CXCL1	CXCL1
40	P09341	P25025	CXCL1	CXCR2
41	P09341	P25024	CXCL1	CXCR1
42	P10145	P10145	CXCL8	CXCL8
43	P10145	P04899	CXCL8	GNAI2
44	P10145	P25024	CXCL8	CXCR1
45	P19875	P19875	CXCL2	CXCL2
46	P19875	P09341	CXCL2	CXCL1
47	P19875	P19876	CXCL2	CXCL3
48	P19876	P09341	CXCL3	CXCL1
49	P25024	A5PKU2	CXCR1	TUSC5
50	P25024	P25024	CXCR1	CXCR1
51	P25024	O95837	CXCR1	GNA14
52	P25024	P80162	CXCR1	CXCL6
53	P25024	P19875	CXCR1	CXCL2
54	P25024	P19876	CXCR1	CXCL3
55	P25024	P30679	CXCR1	GNA15
56	P25024	P04899	CXCR1	GNAI2
57	P25025	Q81YE5	CXCR2	argH1
58	P25025	Q81YE8	CXCR2	GBAA_3601
59	P25025	Q7CJU0	CXCR2	fldA
60	P25025	P10145	CXCR2	CXCL8
61	P25025	P25025	CXCR2	CXCR2
62	P25025	P49407	CXCR2	ARRB1
63	P25025	P25024	CXCR2	CXCR1
64	P25025	P67775	CXCR2	PPP2CA
65	P25025	Q9ULV0	CXCR2	MYO5B
66	P25025	P50502	CXCR2	ST13
67	P25025	O95837	CXCR2	GNA14
68	P25025	P08754	CXCR2	GNAI3
69	P25025	P80162	CXCR2	CXCL6
70	P25025	P19875	CXCR2	CXCL2
71	P25025	P19876	CXCR2	CXCL3
72	P25025	P30679	CXCR2	GNA15
73	P25025	Q92664	CXCR2	GTF3A
74	P35348	P25025	ADRA1A	CXCR2
75	P35348	P25024	ADRA1A	CXCR1
76	P42261	P25025	GRIA1	CXCR2
77	P42261	P42261	GRIA1	GRIA1
78	P42830	P25025	CXCL5	CXCR2
79	P42830	P25024	CXCL5	CXCR1
80	P49407	P49407	ARRB1	ARRB1
81	P49407	O95782	ARRB1	AP2A1
82	P54849	P25025	EMP1	CXCR2
83	Q14318	Q14318	FKBP8	FKBP8
84	Q14318	P25025	FKBP8	CXCR2
85	Q5JY77	P25025	GPRASP1	CXCR2
86	Q7L804	Q7L804	RAB11FIP2	RAB11FIP2
87	Q7L804	O95782	RAB11FIP2	AP2A1
88	Q7L804	Q9ULV0	RAB11FIP2	MYO5B
89	Q7L804	P25025	RAB11FIP2	CXCR2
90	Q81KI9	P25025	ytpB	CXCR2
91	Q8WVX3	P25025	C4orf3	CXCR2
92	Q9BVK8	P25025	TMEM147	CXCR2
93	Q9HD20	P25025	ATP13A1	CXCR2
94	Q9NRQ5	P25025	SMCO4	CXCR2
95	P45973	O43463	CBX5	SUV39H1
96	Q92769	O43463	HDAC2	SUV39H1
97	Q15910	O43463	EZH2	SUV39H1
98	O95243	O43463	MBD4	SUV39H1
99	Q13185	O43463	CBX3	SUV39H1
100	Q9Y6K1	O43463	DNMT3A	SUV39H1
101	Q16576	O43463	RBBP7	SUV39H1
102	Q09028	O43463	RBBP4	SUV39H1
103	Q9UBC3	O43463	DNMT3B	SUV39H1
104	Q96KQ7	O43463	EHMT2	SUV39H1
105	Q15047	O43463	SETDB1	SUV39H1
106	P51608	O43463	MECP2	SUV39H1
107	Q96T88	O43463	UHRF1	SUV39H1
108	Q6P1J9	O43463	CDC73	SUV39H1
109	O43463	O43463	SUV39H1	SUV39H1
110	Q9UIF9	O60264	BAZ2A	SMARCA5
111	Q92769	O60264	HDAC2	SMARCA5
112	Q9UBC3	O60264	DNMT3B	SMARCA5
113	P26358	O60264	DNMT1	SMARCA5
114	Q93034	O60264	CUL5	SMARCA5
115	Q13547	O60264	HDAC1	SMARCA5
116	O60264	O60264	SMARCA5	SMARCA5
117	Q15022	O60264	SUZ12	SMARCA5
118	O75530	O60264	EED	SMARCA5
119	Q16576	O60264	RBBP7	SMARCA5
120	O75530	O75530	EED	EED
121	Q9UBC3	O75530	DNMT3B	EED
122	Q13619	O75530	CUL4A	EED
123	Q96EB6	O75530	SIRT1	EED
124	Q15910	O75530	EZH2	EED
125	Q15714	O75530	TSC22D1	EED
126	P46783	O75530	RPS10	EED
127	Q02539	O75530	HIST1H1A	EED
128	Q15843	O75925	NEDD8	PIAS1
129	P16220	O75925	CREB1	PIAS1
130	P63279	O75925	UBE2I	PIAS1
131	O75925	O75925	PIAS1	PIAS1
132	P09874	O75925	PARP1	PIAS1
133	Q14839	O94776	CHD4	MTA2
134	P26358	O94776	DNMT1	MTA2
135	Q15910	O94776	EZH2	MTA2
136	Q15672	O94776	TWIST1	MTA2
137	Q13618	O94776	CUL3	MTA2
138	Q13263	O94776	TRIM28	MTA2
139	Q9UBC3	O94776	DNMT3B	MTA2
140	Q9UBC3	O95239	DNMT3B	KIF4A
141	O75530	O95239	EED	KIF4A
142	Q9UBC3	O95243	DNMT3B	MBD4
143	Q9UBC3	O95347	DNMT3B	SMC2
144	P09874	P09874	PARP1	PARP1
145	P17947	P09874	SPI1	PARP1
146	Q9UBC3	P09874	DNMT3B	PARP1
147	Q15843	P09874	NEDD8	PARP1
148	Q13263	P09874	TRIM28	PARP1
149	Q9BPX3	P09874	NCAPG	PARP1
150	Q96EB6	P09874	SIRT1	PARP1
151	Q96PU4	P09874	UHRF2	PARP1
152	Q14839	P09874	CHD4	PARP1
153	Q15843	P0CG48	NEDD8	UBC
154	P09874	P0CG48	PARP1	UBC
155	Q9UBC3	P0CG48	DNMT3B	UBC
156	Q13619	P0CG48	CUL4A	UBC
157	Q9QR71	P0CG48	ORF73	UBC
158	Q13618	P0CG48	CUL3	UBC
159	Q93034	P0CG48	CUL5	UBC
160	Q13617	P0CG48	CUL2	UBC
161	P0CG48	P0CG48	UBC	UBC
162	Q9BPX3	P0CG48	NCAPG	UBC
163	Q6P1J9	P0CG48	CDC73	UBC
164	P16220	P16220	CREB1	CREB1
165	Q9UKY1	P16220	ZHX1	CREB1
166	O60264	P16220	SMARCA5	CREB1
167	Q9UBC3	P16220	DNMT3B	CREB1
168	Q96EB6	P16220	SIRT1	CREB1
169	Q9UJW3	P16220	DNMT3L	CREB1
170	P51608	P17947	MECP2	SPI1
171	Q13547	P17947	HDAC1	SPI1
