	#node1	node2
0	PRKACB	PRKACA
1	PDE4B	PRKACA
2	PRKACB	ADCY3
3	PRKACA	ADCY3
4	PRKACG	ADCY3
5	PDE4C	ADCY3
6	PDE10A	ADCY3
7	PDE4D	ADCY3
8	PDE4B	ADCY3
9	PDE7A	ADCY3
10	PDE4A	ADCY3
11	PDE6B	ADCY3
12	PRKACB	PDE4B
13	PRKACG	PDE4B
14	PRKACG	PRKACA
15	PRKACG	PRKACB
16	PDE4D	PRKACA
17	PRKACB	PDE4A
18	PDE4C	PRKACA
19	PRKACB	PDE4D
20	PRKACG	PDE4D
21	PRKACG	PDE4A
22	PRKACG	PDE4C
23	PRKACB	PDE4C
24	PRKACA	PDE4A
25	PRKACB	PRKACA
26	PDE4B	PRKACA
27	PRKACB	ADCY3
28	PRKACA	ADCY3
29	PRKACG	ADCY3
30	PDE4C	ADCY3
31	PDE10A	ADCY3
32	PDE4D	ADCY3
33	PDE4B	ADCY3
34	PDE7A	ADCY3
35	PDE4A	ADCY3
36	PDE6B	ADCY3
37	PRKACB	PDE4B
38	PRKACG	PDE4B
39	PRKACG	PRKACA
40	PRKACG	PRKACB
41	PDE4D	PRKACA
42	PRKACB	PDE4A
43	PDE4C	PRKACA
44	PRKACB	PDE4D
45	PRKACG	PDE4D
46	PRKACG	PDE4A
47	PRKACG	PDE4C
48	PRKACB	PDE4C
49	PRKACA	PDE4A
50	IL8	CXCR1
51	CXCL2	CXCL1
52	CXCL1	IL8
53	CXCL2	IL8
54	CXCR2	CXCR1
55	FPR2	FPR1
56	CXCR2	FPR1
57	CXCR2	PPBP
58	CXCR2	IL8
59	CXCL1	CXCR2
60	CXCL1	CXCR1
61	CXCL2	CXCR2
62	CXCL2	CXCR1
63	ARRB1	CXCR2
64	PPBP	CXCR1
65	GNA14	CXCR2
66	FPR2	CXCR2
67	PPP2CA	CXCR2
68	GNA14	CXCR1
69	FPR1	CXCR1
70	FPR2	CXCR1
71	PPP2CA	ARRB1
72	FPR1	PPBP
73	FPR2	PPBP
74	CXCL2	FPR2
75	CXCL1	FPR2
76	CXCL1	FPR1
77	CXCL2	FPR1
78	IL8	PPBP
79	ARRB1	CXCR1
80	GNA14	FPR2
81	CXCL1	PPBP
82	ARRB1	FPR1
83	ARRB1	IL8
84	CXCL2	PPBP
85	PPP2CA	IL8
86	IL8	FPR1
87	FPR2	IL8
88	GNA14	IL8
89	HDAC2	RBBP7
90	HDAC1	RBBP4
91	HDAC2	RBBP4
92	RBBP7	HDAC1
93	HDAC2	SMARCA5
94	RBBP4	SMARCA5
95	HDAC2	EZH2
96	HDAC1	EZH2
97	HDAC1	SMARCA5
98	RBBP7	EZH2
99	RBBP7	RBBP4
100	HDAC2	HDAC1
101	HDAC1	DNMT1
102	RBBP7	SMARCA5
103	HDAC2	DNMT1
104	H2AFX	DNMT3B
105	H2AFX	DNMT3A
106	DNMT1	EZH2
