#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
TYK2	NFKB1	1845624	1843094	9606.ENSP00000264818	9606.ENSP00000226574	0	0	0	0	0.054	0.170	0.900	0	0.914
FOS	TYK2	1848822	1845624	9606.ENSP00000306245	9606.ENSP00000264818	0	0	0	0	0	0.090	0.900	0	0.905
IL27	TYK2	1853433	1845624	9606.ENSP00000349365	9606.ENSP00000264818	0	0	0	0	0	0	0.900	0	0.900
IL23R	NFKB1	1850338	1843094	9606.ENSP00000321345	9606.ENSP00000226574	0	0	0	0	0	0	0.900	0	0.900
CXCR2	ADCY3	1850165	1844803	9606.ENSP00000319635	9606.ENSP00000260600	0	0	0	0	0	0	0.900	0	0.900
IL23R	TYK2	1850338	1845624	9606.ENSP00000321345	9606.ENSP00000264818	0	0	0	0	0	0	0.900	0	0.900
OSMR	TYK2	1846370	1845624	9606.ENSP00000274276	9606.ENSP00000264818	0	0	0	0	0	0	0.900	0	0.900
IL2RA	FOS	1857121	1848822	9606.ENSP00000369293	9606.ENSP00000306245	0	0	0	0	0	0	0.900	0	0.900
PTPN2	TYK2	1849470	1845624	9606.ENSP00000311857	9606.ENSP00000264818	0	0	0	0	0	0.350	0.800	0	0.864
IL2RA	TYK2	1857121	1845624	9606.ENSP00000369293	9606.ENSP00000264818	0	0	0	0	0	0	0.800	0	0.800
