#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CUL1	RBX1	1850867	1842568	9606.ENSP00000326804	9606.ENSP00000216225	0	0	0	0	0.055	0.972	0.900	0	0.997
CUL3	RBX1	1845542	1842568	9606.ENSP00000264414	9606.ENSP00000216225	0	0	0	0	0.055	0.859	0.900	0	0.985
CUL2	RBX1	1862282	1842568	9606.ENSP00000444856	9606.ENSP00000216225	0	0	0	0	0.055	0.841	0.900	0	0.983
CUL1	FBXW11	1850867	1845689	9606.ENSP00000326804	9606.ENSP00000265094	0	0	0	0	0.073	0.754	0.900	0	0.975
BTRC	CUL1	1855188	1850867	9606.ENSP00000359206	9606.ENSP00000326804	0	0	0	0	0.073	0.754	0.900	0	0.975
CUL5	RBX1	1858067	1842568	9606.ENSP00000376808	9606.ENSP00000216225	0	0	0	0	0.055	0.755	0.900	0	0.974
KLHL2	CUL3	1861621	1845542	9606.ENSP00000424198	9606.ENSP00000264414	0	0	0	0	0.104	0.731	0.900	0	0.973
UBC	FBXW11	1852861	1845689	9606.ENSP00000344818	9606.ENSP00000265094	0	0	0	0	0.053	0.706	0.900	0	0.969
BTRC	FBXW11	1855188	1845689	9606.ENSP00000359206	9606.ENSP00000265094	0	0	0	0.986	0.089	0.627	0.900	0	0.963
UBC	CUL3	1852861	1845542	9606.ENSP00000344818	9606.ENSP00000264414	0	0	0	0	0.055	0.606	0.900	0	0.959
UBC	CUL1	1852861	1850867	9606.ENSP00000344818	9606.ENSP00000326804	0	0	0	0	0.058	0.606	0.900	0	0.959
CUL2	UBC	1862282	1852861	9606.ENSP00000444856	9606.ENSP00000344818	0	0	0	0	0.055	0.606	0.900	0	0.959
CUL3	KEAP1	1845542	1842313	9606.ENSP00000264414	9606.ENSP00000171111	0	0	0	0	0.057	0.527	0.900	0	0.951
CUL1	CUL3	1850867	1845542	9606.ENSP00000326804	9606.ENSP00000264414	0	0	0	0.814	0.217	0.417	0.900	0	0.950
CUL2	KEAP1	1862282	1842313	9606.ENSP00000444856	9606.ENSP00000171111	0	0	0	0	0.057	0.500	0.900	0	0.948
BTRC	UBC	1855188	1852861	9606.ENSP00000359206	9606.ENSP00000344818	0	0	0	0	0.053	0.502	0.900	0	0.948
CUL5	UBC	1858067	1852861	9606.ENSP00000376808	9606.ENSP00000344818	0	0	0	0	0.055	0.463	0.900	0	0.944
CUL2	CUL3	1862282	1845542	9606.ENSP00000444856	9606.ENSP00000264414	0	0	0	0.769	0.109	0.417	0.900	0	0.943
CUL5	CUL3	1858067	1845542	9606.ENSP00000376808	9606.ENSP00000264414	0	0	0	0.710	0.119	0.360	0.900	0	0.938
RBX1	KEAP1	1842568	1842313	9606.ENSP00000216225	9606.ENSP00000171111	0	0	0	0	0.049	0.403	0.900	0	0.938
UBC	KEAP1	1852861	1842313	9606.ENSP00000344818	9606.ENSP00000171111	0	0	0	0	0.046	0.400	0.900	0	0.937
NFE2L2	KEAP1	1858451	1842313	9606.ENSP00000380252	9606.ENSP00000171111	0	0	0	0	0	0.380	0.900	0	0.935
BTRC	KEAP1	1855188	1842313	9606.ENSP00000359206	9606.ENSP00000171111	0	0	0	0	0.055	0.361	0.900	0	0.934
KLHL2	KEAP1	1861621	1842313	9606.ENSP00000424198	9606.ENSP00000171111	0	0	0	0.872	0	0.360	0.900	0	0.933
BTRC	RBX1	1855188	1842568	9606.ENSP00000359206	9606.ENSP00000216225	0	0	0	0	0	0.344	0.900	0	0.931
FBXW11	RBX1	1845689	1842568	9606.ENSP00000265094	9606.ENSP00000216225	0	0	0	0	0	0.329	0.900	0	0.930
CUL5	KEAP1	1858067	1842313	9606.ENSP00000376808	9606.ENSP00000171111	0	0	0	0	0.057	0.292	0.900	0	0.927
KLHL2	CUL1	1861621	1850867	9606.ENSP00000424198	9606.ENSP00000326804	0	0	0	0	0.057	0.292	0.900	0	0.927
