#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
IL2RG	IL2	1856061	1843096	9606.ENSP00000363318	9606.ENSP00000226730	0	0	0	0	0	0.885	0.900	0	0.988
IL2RG	IL2RB	1856061	1842567	9606.ENSP00000363318	9606.ENSP00000216223	0	0	0	0	0.086	0.866	0.900	0	0.986
IL2	IL2RB	1843096	1842567	9606.ENSP00000226730	9606.ENSP00000216223	0	0	0	0	0	0.866	0.900	0	0.986
IL2RA	IL2RB	1857121	1842567	9606.ENSP00000369293	9606.ENSP00000216223	0	0	0	0	0	0.866	0.900	0	0.986
IL2RA	IL2	1857121	1843096	9606.ENSP00000369293	9606.ENSP00000226730	0	0	0	0	0.054	0.866	0.900	0	0.986
NFATC2	FOXP3	1858353	1856454	9606.ENSP00000379330	9606.ENSP00000365380	0	0	0	0	0	0.869	0.900	0	0.986
IL2RA	IL2RG	1857121	1856061	9606.ENSP00000369293	9606.ENSP00000363318	0	0	0	0	0	0.800	0.900	0	0.979
STAT5A	STAT3	1852428	1845584	9606.ENSP00000341208	9606.ENSP00000264657	0	0	0	0.768	0.082	0.599	0.900	0	0.959
GZMB	IL2RB	1842586	1842567	9606.ENSP00000216341	9606.ENSP00000216223	0	0	0	0	0.438	0	0.900	0	0.941
STAT5B	STAT3	1847405	1845584	9606.ENSP00000293328	9606.ENSP00000264657	0	0	0	0.772	0.087	0.387	0.900	0	0.939
FOXP3	IL2	1856454	1843096	9606.ENSP00000365380	9606.ENSP00000226730	0	0	0	0	0	0.407	0.900	0	0.938
STAT5A	STAT5B	1852428	1847405	9606.ENSP00000341208	9606.ENSP00000293328	0	0	0	0.989	0.102	0.360	0.900	0	0.937
NFATC2	IL2	1858353	1843096	9606.ENSP00000379330	9606.ENSP00000226730	0	0	0	0	0	0.396	0.900	0	0.937
IL2RA	STAT5A	1857121	1852428	9606.ENSP00000369293	9606.ENSP00000341208	0	0	0	0	0.053	0.360	0.900	0	0.934
IL2RA	STAT5B	1857121	1847405	9606.ENSP00000369293	9606.ENSP00000293328	0	0	0	0	0.053	0.360	0.900	0	0.934
NFATC1	IL2	1850967	1843096	9606.ENSP00000327850	9606.ENSP00000226730	0	0	0	0	0	0.353	0.900	0	0.932
STAT3	IL2RB	1845584	1842567	9606.ENSP00000264657	9606.ENSP00000216223	0	0	0	0	0.054	0.336	0.900	0	0.931
IL2RA	STAT3	1857121	1845584	9606.ENSP00000369293	9606.ENSP00000264657	0	0	0	0	0	0.336	0.900	0	0.930
STAT5B	IL2RB	1847405	1842567	9606.ENSP00000293328	9606.ENSP00000216223	0	0	0	0	0	0.336	0.900	0	0.930
STAT5A	IL2RB	1852428	1842567	9606.ENSP00000341208	9606.ENSP00000216223	0	0	0	0	0	0.336	0.900	0	0.930
IL2RG	STAT5A	1856061	1852428	9606.ENSP00000363318	9606.ENSP00000341208	0	0	0	0	0.042	0.326	0.900	0	0.929
IL2RA	FOXP3	1857121	1856454	9606.ENSP00000369293	9606.ENSP00000365380	0	0	0	0	0.052	0.169	0.900	0	0.914
NFATC2	NFATC1	1858353	1850967	9606.ENSP00000379330	9606.ENSP00000327850	0	0	0	0.872	0.049	0.139	0.900	0	0.910
NFATC2	IL2RA	1858353	1857121	9606.ENSP00000379330	9606.ENSP00000369293	0	0	0	0	0	0.145	0.900	0	0.910
IL2RA	NFATC1	1857121	1850967	9606.ENSP00000369293	9606.ENSP00000327850	0	0	0	0	0	0.119	0.900	0	0.908
IL2RA	GZMB	1857121	1842586	9606.ENSP00000369293	9606.ENSP00000216341	0	0	0	0	0.120	0	0.900	0	0.908
IL2RG	STAT3	1856061	1845584	9606.ENSP00000363318	9606.ENSP00000264657	0	0	0	0	0.053	0	0.900	0	0.901
IL2RG	STAT5B	1856061	1847405	9606.ENSP00000363318	9606.ENSP00000293328	0	0	0	0	0.042	0	0.900	0	0.900
STAT3	IL2	1845584	1843096	9606.ENSP00000264657	9606.ENSP00000226730	0	0	0	0	0	0	0.900	0	0.900
IL2RG	GZMB	1856061	1842586	9606.ENSP00000363318	9606.ENSP00000216341	0	0	0	0	0	0	0.900	0	0.900
STAT5B	IL2	1847405	1843096	9606.ENSP00000293328	9606.ENSP00000226730	0	0	0	0	0	0	0.900	0	0.900
STAT5A	IL2	1852428	1843096	9606.ENSP00000341208	9606.ENSP00000226730	0	0	0	0	0	0	0.900	0	0.900
IL2	GZMB	1843096	1842586	9606.ENSP00000226730	9606.ENSP00000216341	0	0	0	0	0	0	0.900	0	0.900
FOXP3	IL2RG	1856454	1856061	9606.ENSP00000365380	9606.ENSP00000363318	0	0	0	0	0.438	0	0	0	0.438
FOXP3	NFATC1	1856454	1850967	9606.ENSP00000365380	9606.ENSP00000327850	0	0	0	0	0	0.407	0	0	0.407
