#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
COL1A2	COL1A1	1847845	1843064	9606.ENSP00000297268	9606.ENSP00000225964	0	0	0	0.930	0.871	0.360	0.900	0	0.991
COL3A1	COL1A2	1848637	1847845	9606.ENSP00000304408	9606.ENSP00000297268	0	0	0	0.886	0.875	0	0.900	0	0.987
COL3A1	COL1A1	1848637	1843064	9606.ENSP00000304408	9606.ENSP00000225964	0	0	0	0.614	0.869	0	0.900	0	0.986
COL1A2	LUM	1847845	1845897	9606.ENSP00000297268	9606.ENSP00000266718	0	0	0	0	0.724	0.360	0.900	0	0.980
COL5A2	COL3A1	1856195	1848637	9606.ENSP00000364000	9606.ENSP00000304408	0	0	0	0.667	0.803	0	0.900	0	0.979
COL5A2	COL1A2	1856195	1847845	9606.ENSP00000364000	9606.ENSP00000297268	0	0	0	0.880	0.790	0	0.900	0	0.978
COL5A2	COL1A1	1856195	1843064	9606.ENSP00000364000	9606.ENSP00000225964	0	0	0	0.830	0.650	0	0.900	0	0.963
COL3A1	LUM	1848637	1845897	9606.ENSP00000304408	9606.ENSP00000266718	0	0	0	0	0.763	0	0.720	0	0.930
LUM	COL1A1	1845897	1843064	9606.ENSP00000266718	9606.ENSP00000225964	0	0	0	0	0.450	0	0.720	0	0.839
COL5A2	LUM	1856195	1845897	9606.ENSP00000364000	9606.ENSP00000266718	0	0	0	0	0.424	0	0.720	0	0.831
POSTN	COL3A1	1857088	1848637	9606.ENSP00000369071	9606.ENSP00000304408	0	0	0	0	0.797	0	0	0	0.797
COL3A1	CDH11	1848637	1846023	9606.ENSP00000304408	9606.ENSP00000268603	0	0	0	0	0.735	0	0	0	0.735
POSTN	COL5A2	1857088	1856195	9606.ENSP00000369071	9606.ENSP00000364000	0	0	0	0	0.712	0	0	0	0.712
POSTN	COL1A2	1857088	1847845	9606.ENSP00000369071	9606.ENSP00000297268	0	0	0	0	0.638	0	0	0	0.638
COL1A2	CDH11	1847845	1846023	9606.ENSP00000297268	9606.ENSP00000268603	0	0	0	0	0.603	0	0	0	0.603
COL1A2	FAP	1847845	1842354	9606.ENSP00000297268	9606.ENSP00000188790	0	0	0	0	0.594	0	0	0	0.594
COL5A2	FAP	1856195	1842354	9606.ENSP00000364000	9606.ENSP00000188790	0	0	0	0	0.590	0	0	0	0.590
COL5A2	CDH11	1856195	1846023	9606.ENSP00000364000	9606.ENSP00000268603	0	0	0	0	0.584	0	0	0	0.584
POSTN	CDH11	1857088	1846023	9606.ENSP00000369071	9606.ENSP00000268603	0	0	0	0	0.553	0	0	0	0.553
HUWE1	FAP	1845226	1842354	9606.ENSP00000262854	9606.ENSP00000188790	0	0	0	0	0.053	0.503	0	0	0.509
SH3KBP1	FAP	1858529	1842354	9606.ENSP00000380921	9606.ENSP00000188790	0	0	0	0	0	0.503	0	0	0.503
POSTN	COL1A1	1857088	1843064	9606.ENSP00000369071	9606.ENSP00000225964	0	0	0	0	0.477	0	0	0	0.477
COL1A1	FAP	1843064	1842354	9606.ENSP00000225964	9606.ENSP00000188790	0	0	0	0	0.459	0	0	0	0.459
POSTN	FAP	1857088	1842354	9606.ENSP00000369071	9606.ENSP00000188790	0	0	0	0	0.455	0	0	0	0.455
POSTN	LUM	1857088	1845897	9606.ENSP00000369071	9606.ENSP00000266718	0	0	0	0	0.448	0	0	0	0.448
CORO1C	FAP	1844902	1842354	9606.ENSP00000261401	9606.ENSP00000188790	0	0	0	0	0.091	0.417	0	0	0.447
LUM	FAP	1845897	1842354	9606.ENSP00000266718	9606.ENSP00000188790	0	0	0	0	0.442	0	0	0	0.442
COL3A1	FAP	1848637	1842354	9606.ENSP00000304408	9606.ENSP00000188790	0	0	0	0	0.434	0	0	0	0.435
CDH11	FAP	1846023	1842354	9606.ENSP00000268603	9606.ENSP00000188790	0	0	0	0	0.433	0	0	0	0.433
CDH11	COL1A1	1846023	1843064	9606.ENSP00000268603	9606.ENSP00000225964	0	0	0	0	0.425	0	0	0	0.425
SH3KBP1	HUWE1	1858529	1845226	9606.ENSP00000380921	9606.ENSP00000262854	0	0	0	0	0.423	0	0	0	0.423
