#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MTOR	RPTOR	1854147	1848942	9606.ENSP00000354558	9606.ENSP00000307272	0	0	0	0	0.464	0.961	0.900	0	0.997
PDPK1	AKT1	1852785	1846136	9606.ENSP00000344220	9606.ENSP00000270202	0	0	0	0.770	0.073	0.866	0.900	0	0.986
MTOR	AKT1	1854147	1846136	9606.ENSP00000354558	9606.ENSP00000270202	0	0	0	0	0.073	0.787	0.900	0	0.978
MTOR	RPS6KB1	1854147	1843035	9606.ENSP00000354558	9606.ENSP00000225577	0	0	0	0	0.061	0.782	0.900	0	0.977
PDPK1	RPS6KB1	1852785	1843035	9606.ENSP00000344220	9606.ENSP00000225577	0	0	0	0.761	0.073	0.779	0.900	0	0.977
HSP90AA1	AKT1	1851814	1846136	9606.ENSP00000335153	9606.ENSP00000270202	0	0	0	0	0.053	0.734	0.900	0	0.972
HSP90AA1	MAPK1	1851814	1842512	9606.ENSP00000335153	9606.ENSP00000215832	0	0	0	0	0.050	0.678	0.900	0	0.966
RPS6	RPS6KB1	1857216	1843035	9606.ENSP00000369757	9606.ENSP00000225577	0	0	0	0	0.047	0.667	0.900	0	0.965
AKT1	RPS6KB1	1846136	1843035	9606.ENSP00000270202	9606.ENSP00000225577	0	0	0	0.870	0.106	0.633	0.900	0	0.964
HSP90AA1	RPS6KB1	1851814	1843035	9606.ENSP00000335153	9606.ENSP00000225577	0	0	0	0	0.052	0.636	0.900	0	0.962
RPTOR	RPS6KB1	1848942	1843035	9606.ENSP00000307272	9606.ENSP00000225577	0	0	0	0	0.147	0.572	0.900	0	0.960
RPTOR	AKT1	1848942	1846136	9606.ENSP00000307272	9606.ENSP00000270202	0	0	0	0	0.147	0.548	0.900	0	0.958
AKT1	PIK3CA	1846136	1845446	9606.ENSP00000270202	9606.ENSP00000263967	0	0	0	0	0.094	0.551	0.900	0	0.955
PIK3CA	RPS6KB1	1845446	1843035	9606.ENSP00000263967	9606.ENSP00000225577	0	0	0	0	0.061	0.527	0.900	0	0.951
RPS6KB1	MAPK1	1843035	1842512	9606.ENSP00000225577	9606.ENSP00000215832	0	0	0	0.686	0.055	0.502	0.900	0	0.948
PPP2CA	RPS6KB1	1861358	1843035	9606.ENSP00000418447	9606.ENSP00000225577	0	0	0	0	0.118	0.446	0.900	0	0.946
RAC1	AKT1	1853302	1846136	9606.ENSP00000348461	9606.ENSP00000270202	0	0	0	0	0.086	0.450	0.900	0	0.945
RAC1	RPS6KB1	1853302	1843035	9606.ENSP00000348461	9606.ENSP00000225577	0	0	0	0	0.054	0.449	0.900	0	0.943
PPP2CA	AKT1	1861358	1846136	9606.ENSP00000418447	9606.ENSP00000270202	0	0	0	0	0.055	0.446	0.900	0	0.943
PPP2CA	MAPK1	1861358	1842512	9606.ENSP00000418447	9606.ENSP00000215832	0	0	0	0	0.056	0.432	0.900	0	0.941
RAC1	PIK3CA	1853302	1845446	9606.ENSP00000348461	9606.ENSP00000263967	0	0	0	0	0.053	0.391	0.900	0	0.937
PDPK1	PIK3CA	1852785	1845446	9606.ENSP00000344220	9606.ENSP00000263967	0	0	0	0	0.133	0.305	0.900	0	0.934
PDPK1	HSP90AA1	1852785	1851814	9606.ENSP00000344220	9606.ENSP00000335153	0	0	0	0	0	0.360	0.900	0	0.933
MTOR	PIK3CA	1854147	1845446	9606.ENSP00000354558	9606.ENSP00000263967	0	0	0	0.610	0.089	0.305	0.900	0	0.931
RAC1	MAPK1	1853302	1842512	9606.ENSP00000348461	9606.ENSP00000215832	0	0	0	0	0.072	0.180	0.900	0	0.917
PPP2CA	MTOR	1861358	1854147	9606.ENSP00000418447	9606.ENSP00000354558	0	0	0	0	0.054	0.161	0.900	0	0.913
PPP2CA	PDPK1	1861358	1852785	9606.ENSP00000418447	9606.ENSP00000344220	0	0	0	0	0.054	0.065	0.900	0	0.903
RAC1	HSP90AA1	1853302	1851814	9606.ENSP00000348461	9606.ENSP00000335153	0	0	0	0	0	0.070	0.900	0	0.903
HSP90AA1	PIK3CA	1851814	1845446	9606.ENSP00000335153	9606.ENSP00000263967	0	0	0	0	0.050	0.047	0.900	0	0.901
RAC1	PDPK1	1853302	1852785	9606.ENSP00000348461	9606.ENSP00000344220	0	0	0	0	0.055	0	0.900	0	0.901
PPP2CA	RPS6	1861358	1857216	9606.ENSP00000418447	9606.ENSP00000369757	0	0	0	0	0.054	0	0.900	0	0.901
MTOR	HSP90AA1	1854147	1851814	9606.ENSP00000354558	9606.ENSP00000335153	0	0	0	0	0.050	0.047	0.900	0	0.901
RPTOR	PIK3CA	1848942	1845446	9606.ENSP00000307272	9606.ENSP00000263967	0	0	0	0	0.233	0.544	0	0	0.635
RPS6	AKT1	1857216	1846136	9606.ENSP00000369757	9606.ENSP00000270202	0	0	0	0	0	0.503	0	0	0.503
MTOR	PDPK1	1854147	1852785	9606.ENSP00000354558	9606.ENSP00000344220	0	0	0	0	0.089	0.444	0	0	0.472
PPP2CA	RAC1	1861358	1853302	9606.ENSP00000418447	9606.ENSP00000348461	0	0	0	0	0.055	0.420	0	0	0.428
RPS6	HSP90AA1	1857216	1851814	9606.ENSP00000369757	9606.ENSP00000335153	0	0	0	0	0.206	0.285	0	0	0.408
