#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GART	PFAS	1857440	1849628	9606.ENSP00000371236	9606.ENSP00000313490	0	0	0	0	0.954	0.858	0.962	0	0.999
CNOT7	CNOT1	1854343	1850299	9606.ENSP00000355279	9606.ENSP00000320949	0	0	0	0	0.099	0.987	0.900	0	0.998
PFAS	EIF4H	1849628	1845803	9606.ENSP00000313490	9606.ENSP00000265753	0	0	0	0	0.064	0.909	0	0	0.912
RAVER1	EIF4H	1847427	1845803	9606.ENSP00000293677	9606.ENSP00000265753	0	0	0	0	0	0.774	0	0	0.774
CNOT7	RAVER1	1854343	1847427	9606.ENSP00000355279	9606.ENSP00000293677	0	0	0	0	0	0.774	0	0	0.774
GART	RAVER1	1857440	1847427	9606.ENSP00000371236	9606.ENSP00000293677	0	0	0	0	0	0.774	0	0	0.774
RAVER1	DDX1	1847427	1843337	9606.ENSP00000293677	9606.ENSP00000233084	0	0	0	0	0	0.774	0	0	0.774
PFAS	RAVER1	1849628	1847427	9606.ENSP00000313490	9606.ENSP00000293677	0	0	0	0	0	0.774	0	0	0.774
SF3B1	RAVER1	1851836	1847427	9606.ENSP00000335321	9606.ENSP00000293677	0	0	0	0	0	0.774	0	0	0.774
CNOT1	RAVER1	1850299	1847427	9606.ENSP00000320949	9606.ENSP00000293677	0	0	0	0	0	0.662	0	0	0.662
SF3B1	EIF4H	1851836	1845803	9606.ENSP00000335321	9606.ENSP00000265753	0	0	0	0	0.073	0.604	0	0	0.617
DYNLT1	RAVER1	1854510	1847427	9606.ENSP00000356056	9606.ENSP00000293677	0	0	0	0	0	0.503	0	0	0.503
ABCC1	RAVER1	1858723	1847427	9606.ENSP00000382342	9606.ENSP00000293677	0	0	0	0	0	0.503	0	0	0.503
AK2	RAVER1	1853107	1847427	9606.ENSP00000346921	9606.ENSP00000293677	0	0	0	0	0	0.503	0	0	0.503
GART	EIF4H	1857440	1845803	9606.ENSP00000371236	9606.ENSP00000265753	0	0	0	0	0.123	0.417	0	0	0.466
