#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PRKACB	PRKACA	1855328	1849201	9606.ENSP00000359719	9606.ENSP00000309591	0	0	0	0.988	0.053	0.774	0.900	0	0.976
PDE4B	PRKACA	1851429	1849201	9606.ENSP00000332116	9606.ENSP00000309591	0	0	0	0	0.182	0.427	0.900	0	0.949
PRKACB	ADCY3	1855328	1844803	9606.ENSP00000359719	9606.ENSP00000260600	0	0	0	0	0.238	0.293	0.900	0	0.941
PRKACA	ADCY3	1849201	1844803	9606.ENSP00000309591	9606.ENSP00000260600	0	0	0	0	0.238	0.293	0.900	0	0.941
PRKACG	ADCY3	1856652	1844803	9606.ENSP00000366488	9606.ENSP00000260600	0	0	0	0	0.238	0.293	0.900	0	0.941
PDE4C	ADCY3	1853199	1844803	9606.ENSP00000347689	9606.ENSP00000260600	0	0	0	0	0.207	0.170	0.900	0	0.928
PDE10A	ADCY3	1862089	1844803	9606.ENSP00000438284	9606.ENSP00000260600	0	0	0	0	0.207	0.169	0.900	0	0.928
PDE4D	ADCY3	1852945	1844803	9606.ENSP00000345502	9606.ENSP00000260600	0	0	0	0	0.207	0.170	0.900	0	0.928
PDE4B	ADCY3	1851429	1844803	9606.ENSP00000332116	9606.ENSP00000260600	0	0	0	0	0.207	0.170	0.900	0	0.928
PDE7A	ADCY3	1859054	1844803	9606.ENSP00000385632	9606.ENSP00000260600	0	0	0	0	0.207	0.169	0.900	0	0.928
PDE4A	ADCY3	1846154	1844803	9606.ENSP00000270474	9606.ENSP00000260600	0	0	0	0	0.207	0.170	0.900	0	0.928
PDE6B	ADCY3	1861473	1844803	9606.ENSP00000420295	9606.ENSP00000260600	0	0	0	0	0.207	0.169	0.900	0	0.928
PRKACB	PDE4B	1855328	1851429	9606.ENSP00000359719	9606.ENSP00000332116	0	0	0	0	0.205	0.142	0.900	0	0.925
PRKACG	PDE4B	1856652	1851429	9606.ENSP00000366488	9606.ENSP00000332116	0	0	0	0	0.182	0.142	0.900	0	0.923
PRKACG	PRKACA	1856652	1849201	9606.ENSP00000366488	9606.ENSP00000309591	0	0	0	0.986	0	0.130	0.900	0	0.909
PRKACG	PRKACB	1856652	1855328	9606.ENSP00000366488	9606.ENSP00000359719	0	0	0	0.984	0	0	0.900	0	0.900
PDE4D	PRKACA	1852945	1849201	9606.ENSP00000345502	9606.ENSP00000309591	0	0	0	0	0.182	0.427	0.800	0	0.898
PRKACB	PDE4A	1855328	1846154	9606.ENSP00000359719	9606.ENSP00000270474	0	0	0	0	0.182	0.142	0.800	0	0.847
PDE4C	PRKACA	1853199	1849201	9606.ENSP00000347689	9606.ENSP00000309591	0	0	0	0	0.182	0.142	0.800	0	0.847
PRKACB	PDE4D	1855328	1852945	9606.ENSP00000359719	9606.ENSP00000345502	0	0	0	0	0.182	0.142	0.800	0	0.847
PRKACG	PDE4D	1856652	1852945	9606.ENSP00000366488	9606.ENSP00000345502	0	0	0	0	0.182	0.142	0.800	0	0.847
PRKACG	PDE4A	1856652	1846154	9606.ENSP00000366488	9606.ENSP00000270474	0	0	0	0	0.182	0.142	0.800	0	0.847
PRKACG	PDE4C	1856652	1853199	9606.ENSP00000366488	9606.ENSP00000347689	0	0	0	0	0.182	0.142	0.800	0	0.847
PRKACB	PDE4C	1855328	1853199	9606.ENSP00000359719	9606.ENSP00000347689	0	0	0	0	0.182	0.142	0.800	0	0.847
PRKACA	PDE4A	1849201	1846154	9606.ENSP00000309591	9606.ENSP00000270474	0	0	0	0	0.182	0.142	0.800	0	0.847
