#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
JAK1	STAT5B	1852670	1847405	9606.ENSP00000343204	9606.ENSP00000293328	0	0	0	0	0.187	0.586	0.900	0	0.963
JAK3	STAT5B	1859586	1847405	9606.ENSP00000391676	9606.ENSP00000293328	0	0	0	0	0.168	0.586	0.900	0	0.962
JAK2	STAT5B	1857411	1847405	9606.ENSP00000371067	9606.ENSP00000293328	0	0	0	0	0.105	0.608	0.900	0	0.961
JAK1	STAT6	1852670	1848146	9606.ENSP00000343204	9606.ENSP00000300134	0	0	0	0	0.079	0.608	0.900	0	0.960
JAK3	STAT5A	1859586	1852428	9606.ENSP00000391676	9606.ENSP00000341208	0	0	0	0	0.053	0.608	0.900	0	0.959
STAT5A	STAT3	1852428	1845584	9606.ENSP00000341208	9606.ENSP00000264657	0	0	0	0.768	0.082	0.599	0.900	0	0.959
JAK3	STAT6	1859586	1848146	9606.ENSP00000391676	9606.ENSP00000300134	0	0	0	0	0.103	0.589	0.900	0	0.959
JAK2	STAT5A	1857411	1852428	9606.ENSP00000371067	9606.ENSP00000341208	0	0	0	0	0.053	0.608	0.900	0	0.959
JAK1	STAT5A	1852670	1852428	9606.ENSP00000343204	9606.ENSP00000341208	0	0	0	0	0.053	0.608	0.900	0	0.959
STAT1	STAT3	1854113	1845584	9606.ENSP00000354394	9606.ENSP00000264657	0	0	0	0.957	0.053	0.598	0.900	0	0.958
STAT1	STAT5A	1854113	1852428	9606.ENSP00000354394	9606.ENSP00000341208	0	0	0	0.752	0	0.595	0.900	0	0.957
JAK1	STAT3	1852670	1845584	9606.ENSP00000343204	9606.ENSP00000264657	0	0	0	0	0.109	0.410	0.900	0	0.942
JAK2	STAT1	1857411	1854113	9606.ENSP00000371067	9606.ENSP00000354394	0	0	0	0	0.106	0.410	0.900	0	0.942
JAK2	STAT3	1857411	1845584	9606.ENSP00000371067	9606.ENSP00000264657	0	0	0	0	0.092	0.410	0.900	0	0.941
STAT6	TYK2	1848146	1845624	9606.ENSP00000300134	9606.ENSP00000264818	0	0	0	0	0.053	0.413	0.900	0	0.939
JAK2	STAT6	1857411	1848146	9606.ENSP00000371067	9606.ENSP00000300134	0	0	0	0	0.053	0.413	0.900	0	0.939
JAK3	STAT3	1859586	1845584	9606.ENSP00000391676	9606.ENSP00000264657	0	0	0	0	0.053	0.410	0.900	0	0.939
STAT5A	TYK2	1852428	1845624	9606.ENSP00000341208	9606.ENSP00000264818	0	0	0	0	0.053	0.413	0.900	0	0.939
STAT5B	TYK2	1847405	1845624	9606.ENSP00000293328	9606.ENSP00000264818	0	0	0	0	0.053	0.413	0.900	0	0.939
STAT5B	STAT3	1847405	1845584	9606.ENSP00000293328	9606.ENSP00000264657	0	0	0	0.772	0.087	0.387	0.900	0	0.939
STAT4	STAT3	1853690	1845584	9606.ENSP00000351255	9606.ENSP00000264657	0	0	0	0.945	0	0.400	0.900	0	0.937
STAT5A	STAT5B	1852428	1847405	9606.ENSP00000341208	9606.ENSP00000293328	0	0	0	0.989	0.102	0.360	0.900	0	0.937
STAT1	TYK2	1854113	1845624	9606.ENSP00000354394	9606.ENSP00000264818	0	0	0	0	0.053	0.388	0.900	0	0.937
STAT1	JAK1	1854113	1852670	9606.ENSP00000354394	9606.ENSP00000343204	0	0	0	0	0.054	0.388	0.900	0	0.937
JAK3	JAK1	1859586	1852670	9606.ENSP00000391676	9606.ENSP00000343204	0	0	0	0.898	0.078	0.360	0.900	0	0.935
JAK1	TYK2	1852670	1845624	9606.ENSP00000343204	9606.ENSP00000264818	0	0	0	0.936	0.051	0.360	0.900	0	0.933
JAK3	JAK2	1859586	1857411	9606.ENSP00000391676	9606.ENSP00000371067	0	0	0	0.951	0.068	0.329	0.900	0	0.932
JAK3	TYK2	1859586	1845624	9606.ENSP00000391676	9606.ENSP00000264818	0	0	0	0.875	0.053	0.329	0.900	0	0.930
