#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
KIT	KITLG	1847112	1843134	9606.ENSP00000288135	9606.ENSP00000228280	0	0	0	0	0.054	0.884	0.900	0	0.988
EPO	EPOR	1844154	1842887	9606.ENSP00000252723	9606.ENSP00000222139	0	0	0	0	0	0.866	0.900	0	0.986
JAK2	SOCS3	1857411	1851244	9606.ENSP00000371067	9606.ENSP00000330341	0	0	0	0	0.054	0.861	0.900	0	0.985
JAK2	GRB2	1857411	1852164	9606.ENSP00000371067	9606.ENSP00000339007	0	0	0	0	0.050	0.540	0.900	0	0.952
GRB2	KIT	1852164	1847112	9606.ENSP00000339007	9606.ENSP00000288135	0	0	0	0	0.050	0.448	0.900	0	0.943
JAK2	SH2B1	1857411	1850322	9606.ENSP00000371067	9606.ENSP00000321221	0	0	0	0	0.055	0.430	0.900	0	0.941
JAK2	EPOR	1857411	1842887	9606.ENSP00000371067	9606.ENSP00000222139	0	0	0	0	0	0.426	0.900	0	0.940
JAK2	KIT	1857411	1847112	9606.ENSP00000371067	9606.ENSP00000288135	0	0	0	0.619	0	0.407	0.900	0	0.938
GRB2	EPOR	1852164	1842887	9606.ENSP00000339007	9606.ENSP00000222139	0	0	0	0	0.048	0.395	0.900	0	0.937
SOCS3	EPOR	1851244	1842887	9606.ENSP00000330341	9606.ENSP00000222139	0	0	0	0	0	0.382	0.900	0	0.935
KIT	EPOR	1847112	1842887	9606.ENSP00000288135	9606.ENSP00000222139	0	0	0	0	0	0.379	0.900	0	0.935
NTRK1	GRB2	1861874	1852164	9606.ENSP00000431418	9606.ENSP00000339007	0	0	0	0	0	0.360	0.900	0	0.933
SH2B3	KIT	1852943	1847112	9606.ENSP00000345492	9606.ENSP00000288135	0	0	0	0	0	0.360	0.900	0	0.933
KITLG	EPOR	1843134	1842887	9606.ENSP00000228280	9606.ENSP00000222139	0	0	0	0	0	0.360	0.900	0	0.933
JAK2	KITLG	1857411	1843134	9606.ENSP00000371067	9606.ENSP00000228280	0	0	0	0	0	0.069	0.900	0	0.902
KIT	EPO	1847112	1844154	9606.ENSP00000288135	9606.ENSP00000252723	0	0	0	0	0.054	0	0.900	0	0.901
SH2B3	SOCS3	1852943	1851244	9606.ENSP00000345492	9606.ENSP00000330341	0	0	0	0	0.055	0	0.900	0	0.901
JAK2	EPO	1857411	1844154	9606.ENSP00000371067	9606.ENSP00000252723	0	0	0	0	0	0	0.900	0	0.900
EPO	KITLG	1844154	1843134	9606.ENSP00000252723	9606.ENSP00000228280	0	0	0	0	0	0	0.900	0	0.900
SOCS3	EPO	1851244	1844154	9606.ENSP00000330341	9606.ENSP00000252723	0	0	0	0	0	0	0.900	0	0.900
SH2B3	EPOR	1852943	1842887	9606.ENSP00000345492	9606.ENSP00000222139	0	0	0	0	0	0	0.900	0	0.900
SH2B3	EPO	1852943	1844154	9606.ENSP00000345492	9606.ENSP00000252723	0	0	0	0	0	0	0.900	0	0.900
JAK2	SH2B3	1857411	1852943	9606.ENSP00000371067	9606.ENSP00000345492	0	0	0	0	0	0	0.900	0	0.900
SH2B3	KITLG	1852943	1843134	9606.ENSP00000345492	9606.ENSP00000228280	0	0	0	0	0	0	0.900	0	0.900
GRB2	EPO	1852164	1844154	9606.ENSP00000339007	9606.ENSP00000252723	0	0	0	0	0	0	0.900	0	0.900
GRB2	KITLG	1852164	1843134	9606.ENSP00000339007	9606.ENSP00000228280	0	0	0	0	0	0	0.900	0	0.900
GRB2	SH2B1	1852164	1850322	9606.ENSP00000339007	9606.ENSP00000321221	0	0	0	0	0.051	0.386	0.800	0	0.873
SH2B3	GRB2	1852943	1852164	9606.ENSP00000345492	9606.ENSP00000339007	0	0	0	0	0	0.360	0.800	0	0.866
NTRK1	SH2B1	1861874	1850322	9606.ENSP00000431418	9606.ENSP00000321221	0	0	0	0	0	0.344	0.800	0	0.863
NTRK3	GRB2	1854089	1852164	9606.ENSP00000354207	9606.ENSP00000339007	0	0	0	0	0.055	0.127	0.800	0	0.820
NTRK3	SH2B3	1854089	1852943	9606.ENSP00000354207	9606.ENSP00000345492	0	0	0	0	0	0	0.800	0	0.800
NTRK1	SH2B3	1861874	1852943	9606.ENSP00000431418	9606.ENSP00000345492	0	0	0	0	0	0	0.800	0	0.800
NTRK3	SH2B1	1854089	1850322	9606.ENSP00000354207	9606.ENSP00000321221	0	0	0	0	0	0	0.800	0	0.800
SH2B3	SH2B1	1852943	1850322	9606.ENSP00000345492	9606.ENSP00000321221	0	0	0	0.701	0	0	0.800	0	0.800
