#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
JUN	FOS	1855436	1848822	9606.ENSP00000360266	9606.ENSP00000306245	0	0	0	0	0.522	0.952	0.900	0	0.997
FOS	JUNB	1848822	1848518	9606.ENSP00000306245	9606.ENSP00000303315	0	0	0	0	0.781	0.848	0.900	0	0.996
FOS	JUND	1848822	1844164	9606.ENSP00000306245	9606.ENSP00000252818	0	0	0	0	0.251	0.952	0.900	0	0.996
ATF2	JUND	1845482	1844164	9606.ENSP00000264110	9606.ENSP00000252818	0	0	0	0.636	0.096	0.848	0.900	0	0.985
JUN	ATF2	1855436	1845482	9606.ENSP00000360266	9606.ENSP00000264110	0	0	0	0.632	0.096	0.848	0.900	0	0.985
JUNB	ATF2	1848518	1845482	9606.ENSP00000303315	9606.ENSP00000264110	0	0	0	0.629	0.096	0.848	0.900	0	0.985
JUND	FOSB	1844164	1843783	9606.ENSP00000252818	9606.ENSP00000245919	0	0	0	0	0.208	0.834	0.900	0	0.985
JUNB	FOSB	1848518	1843783	9606.ENSP00000303315	9606.ENSP00000245919	0	0	0	0	0.464	0.739	0.900	0	0.984
JUN	FOSB	1855436	1843783	9606.ENSP00000360266	9606.ENSP00000245919	0	0	0	0	0.573	0.646	0.900	0	0.983
FOS	ATF2	1848822	1845482	9606.ENSP00000306245	9606.ENSP00000264110	0	0	0	0	0	0.776	0.900	0	0.976
FOS	FOSB	1848822	1843783	9606.ENSP00000306245	9606.ENSP00000245919	0	0	0	0.825	0.864	0.152	0.800	0	0.975
MAPK9	JUN	1859420	1855436	9606.ENSP00000389338	9606.ENSP00000360266	0	0	0	0	0	0.662	0.900	0	0.964
MAPK9	JUND	1859420	1844164	9606.ENSP00000389338	9606.ENSP00000252818	0	0	0	0	0	0.662	0.900	0	0.964
CEBPA	FOS	1861711	1848822	9606.ENSP00000427514	9606.ENSP00000306245	0	0	0	0	0.051	0.603	0.900	0	0.959
ATF2	MAPK1	1845482	1842512	9606.ENSP00000264110	9606.ENSP00000215832	0	0	0	0	0.122	0.544	0.900	0	0.956
FOS	MAPK1	1848822	1842512	9606.ENSP00000306245	9606.ENSP00000215832	0	0	0	0	0	0.544	0.900	0	0.952
MAPK9	ATF2	1859420	1845482	9606.ENSP00000389338	9606.ENSP00000264110	0	0	0	0	0.053	0.451	0.900	0	0.943
JUN	JUNB	1855436	1848518	9606.ENSP00000360266	9606.ENSP00000303315	0	0	0	0.913	0.358	0.133	0.900	0	0.939
JUN	ESR1	1855436	1842435	9606.ENSP00000360266	9606.ENSP00000206249	0	0	0	0	0	0.407	0.900	0	0.938
JUN	MAPK1	1855436	1842512	9606.ENSP00000360266	9606.ENSP00000215832	0	0	0	0	0	0.414	0.900	0	0.938
FOS	CREM	1848822	1845738	9606.ENSP00000306245	9606.ENSP00000265372	0	0	0	0	0.051	0.398	0.900	0	0.937
MAPK1	ESR1	1842512	1842435	9606.ENSP00000215832	9606.ENSP00000206249	0	0	0	0	0	0.399	0.900	0	0.937
FOS	ESR1	1848822	1842435	9606.ENSP00000306245	9606.ENSP00000206249	0	0	0	0	0	0.398	0.900	0	0.937
MAPK9	FOS	1859420	1848822	9606.ENSP00000389338	9606.ENSP00000306245	0	0	0	0	0	0.385	0.900	0	0.935
CEBPA	JUN	1861711	1855436	9606.ENSP00000427514	9606.ENSP00000360266	0	0	0	0	0.055	0.365	0.900	0	0.934
JUN	JUND	1855436	1844164	9606.ENSP00000360266	9606.ENSP00000252818	0	0	0	0.934	0.160	0.132	0.900	0	0.920
JUNB	JUND	1848518	1844164	9606.ENSP00000303315	9606.ENSP00000252818	0	0	0	0.875	0.205	0	0.900	0	0.917
JUN	CREM	1855436	1845738	9606.ENSP00000360266	9606.ENSP00000265372	0	0	0	0	0	0.139	0.900	0	0.910
ATF2	ESR1	1845482	1842435	9606.ENSP00000264110	9606.ENSP00000206249	0	0	0	0	0	0.099	0.900	0	0.906
CREM	ATF2	1845738	1845482	9606.ENSP00000265372	9606.ENSP00000264110	0	0	0	0	0.051	0.074	0.800	0	0.808
MAPK9	JUNB	1859420	1848518	9606.ENSP00000389338	9606.ENSP00000303315	0	0	0	0	0	0.579	0	0	0.579
JUND	MAPK1	1844164	1842512	9606.ENSP00000252818	9606.ENSP00000215832	0	0	0	0	0	0.446	0	0	0.446
