#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
B3GNT3	FUT3	1850398	1848747	9606.ENSP00000321874	9606.ENSP00000305603	0	0	0	0	0.190	0	0.900	0	0.915
FUT2	FUT3	1857957	1848747	9606.ENSP00000375748	9606.ENSP00000305603	0	0	0	0	0.137	0	0.900	0	0.910
FUT2	B3GNT3	1857957	1850398	9606.ENSP00000375748	9606.ENSP00000321874	0	0	0	0	0.102	0	0.900	0	0.906
FUT2	FUT5	1857957	1844150	9606.ENSP00000375748	9606.ENSP00000252675	0	0	0	0	0.101	0	0.900	0	0.906
B3GNT3	FUT5	1850398	1844150	9606.ENSP00000321874	9606.ENSP00000252675	0	0	0	0	0.102	0	0.900	0	0.906
FUT2	FUT6	1857957	1847043	9606.ENSP00000375748	9606.ENSP00000286955	0	0	0	0	0.080	0	0.900	0	0.904
FUT2	GBGT1	1857957	1855607	9606.ENSP00000375748	9606.ENSP00000361110	0	0	0	0	0.065	0	0.900	0	0.902
FUT2	B4GALT3	1857957	1850302	9606.ENSP00000375748	9606.ENSP00000320965	0	0	0	0	0.056	0	0.900	0	0.901
B4GALT1	FUT6	1857087	1847043	9606.ENSP00000369055	9606.ENSP00000286955	0	0	0	0	0.052	0	0.900	0	0.901
B4GALT3	FUT3	1850302	1848747	9606.ENSP00000320965	9606.ENSP00000305603	0	0	0	0	0.054	0	0.900	0	0.901
FUT2	B4GALT4	1857957	1853803	9606.ENSP00000375748	9606.ENSP00000352144	0	0	0	0	0.055	0	0.900	0	0.901
FUT4	B4GALT3	1853738	1850302	9606.ENSP00000351602	9606.ENSP00000320965	0	0	0	0	0.052	0	0.900	0	0.901
FUT4	B4GALT2	1853738	1849333	9606.ENSP00000351602	9606.ENSP00000310696	0	0	0	0	0.052	0	0.900	0	0.901
FUT2	FUT4	1857957	1853738	9606.ENSP00000375748	9606.ENSP00000351602	0	0	0	0	0.054	0	0.900	0	0.901
B4GALT2	FUT3	1849333	1848747	9606.ENSP00000310696	9606.ENSP00000305603	0	0	0	0	0.052	0	0.900	0	0.901
FUT2	B4GALT2	1857957	1849333	9606.ENSP00000375748	9606.ENSP00000310696	0	0	0	0	0.056	0	0.900	0	0.901
FUT4	B3GNT3	1853738	1850398	9606.ENSP00000351602	9606.ENSP00000321874	0	0	0	0	0.054	0	0.900	0	0.901
FUT2	B4GALT1	1857957	1857087	9606.ENSP00000375748	9606.ENSP00000369055	0	0	0	0	0.056	0	0.900	0	0.901
B4GALT1	FUT3	1857087	1848747	9606.ENSP00000369055	9606.ENSP00000305603	0	0	0	0	0.052	0	0.900	0	0.901
B3GNT3	FUT6	1850398	1847043	9606.ENSP00000321874	9606.ENSP00000286955	0	0	0	0	0.054	0	0.900	0	0.901
B4GALT1	FUT4	1857087	1853738	9606.ENSP00000369055	9606.ENSP00000351602	0	0	0	0	0.052	0	0.900	0	0.901
B4GALT1	FUT5	1857087	1844150	9606.ENSP00000369055	9606.ENSP00000252675	0	0	0	0	0.052	0	0.900	0	0.901
B4GALT3	FUT6	1850302	1847043	9606.ENSP00000320965	9606.ENSP00000286955	0	0	0	0	0.054	0	0.900	0	0.901
B4GALT2	FUT5	1849333	1844150	9606.ENSP00000310696	9606.ENSP00000252675	0	0	0	0	0.052	0	0.900	0	0.901
