#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
HDAC2	RBBP7	1861837	1857150	9606.ENSP00000430432	9606.ENSP00000369424	0	0	0	0	0.356	0.921	0.900	0	0.994
HDAC1	RBBP4	1855935	1855919	9606.ENSP00000362649	9606.ENSP00000362592	0	0	0	0	0.211	0.921	0.900	0	0.993
HDAC2	RBBP4	1861837	1855919	9606.ENSP00000430432	9606.ENSP00000362592	0	0	0	0	0.182	0.921	0.900	0	0.993
RBBP7	HDAC1	1857150	1855935	9606.ENSP00000369424	9606.ENSP00000362649	0	0	0	0	0.182	0.921	0.900	0	0.993
HDAC2	SMARCA5	1861837	1846833	9606.ENSP00000430432	9606.ENSP00000283131	0	0	0	0	0.419	0.804	0.900	0	0.987
RBBP4	SMARCA5	1855919	1846833	9606.ENSP00000362592	9606.ENSP00000283131	0	0	0	0	0.305	0.833	0.900	0	0.987
HDAC2	EZH2	1861837	1850211	9606.ENSP00000430432	9606.ENSP00000320147	0	0	0	0	0.066	0.833	0.900	0	0.983
HDAC1	EZH2	1855935	1850211	9606.ENSP00000362649	9606.ENSP00000320147	0	0	0	0	0.066	0.833	0.900	0	0.983
HDAC1	SMARCA5	1855935	1846833	9606.ENSP00000362649	9606.ENSP00000283131	0	0	0	0	0.126	0.804	0.900	0	0.981
RBBP7	EZH2	1857150	1850211	9606.ENSP00000369424	9606.ENSP00000320147	0	0	0	0	0.073	0.775	0.900	0	0.977
RBBP7	RBBP4	1857150	1855919	9606.ENSP00000369424	9606.ENSP00000362592	0	0	0	0.988	0	0.774	0.900	0	0.976
HDAC2	HDAC1	1861837	1855935	9606.ENSP00000430432	9606.ENSP00000362649	0	0	0	0.984	0	0.774	0.900	0	0.976
HDAC1	DNMT1	1855935	1853859	9606.ENSP00000362649	9606.ENSP00000352516	0	0	0	0	0.133	0.579	0.900	0	0.960
RBBP7	SMARCA5	1857150	1846833	9606.ENSP00000369424	9606.ENSP00000283131	0	0	0	0	0.369	0.384	0.900	0	0.957
HDAC2	DNMT1	1861837	1853859	9606.ENSP00000430432	9606.ENSP00000352516	0	0	0	0	0.054	0.578	0.900	0	0.956
