#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
JAK2	STAT3	1857411	1845584	9606.ENSP00000371067	9606.ENSP00000264657	0	0	0	0	0.092	0.410	0.900	0	0.941
IL12B	IL23A	1843283	1843150	9606.ENSP00000231228	9606.ENSP00000228534	0	0	0	0	0	0.407	0.900	0	0.938
IL12RB1	IL12B	1860382	1843283	9606.ENSP00000403103	9606.ENSP00000231228	0	0	0	0	0	0.360	0.900	0	0.933
IL23R	IL12B	1850338	1843283	9606.ENSP00000321345	9606.ENSP00000231228	0	0	0	0	0.053	0.326	0.900	0	0.930
RELA	IL12B	1858923	1843283	9606.ENSP00000384273	9606.ENSP00000231228	0	0	0	0	0	0.329	0.900	0	0.930
IL23R	IL23A	1850338	1843150	9606.ENSP00000321345	9606.ENSP00000228534	0	0	0	0	0	0.326	0.900	0	0.929
IL12RB1	IL23R	1860382	1850338	9606.ENSP00000403103	9606.ENSP00000321345	0	0	0	0	0	0.326	0.900	0	0.929
IL23R	STAT3	1850338	1845584	9606.ENSP00000321345	9606.ENSP00000264657	0	0	0	0	0	0.326	0.900	0	0.929
IL12RB1	IL23A	1860382	1843150	9606.ENSP00000403103	9606.ENSP00000228534	0	0	0	0	0	0.326	0.900	0	0.929
JAK2	IL23R	1857411	1850338	9606.ENSP00000371067	9606.ENSP00000321345	0	0	0	0	0	0.326	0.900	0	0.929
RELA	JAK2	1858923	1857411	9606.ENSP00000384273	9606.ENSP00000371067	0	0	0	0	0.053	0.099	0.900	0	0.907
IL12RB1	STAT3	1860382	1845584	9606.ENSP00000403103	9606.ENSP00000264657	0	0	0	0	0	0.095	0.900	0	0.905
CXCL9	IL12B	1854250	1843283	9606.ENSP00000354901	9606.ENSP00000231228	0	0	0	0	0.054	0	0.900	0	0.901
IL12RB1	CD3E	1860382	1854149	9606.ENSP00000403103	9606.ENSP00000354566	0	0	0	0	0.053	0	0.900	0	0.901
IL12RB1	JAK2	1860382	1857411	9606.ENSP00000403103	9606.ENSP00000371067	0	0	0	0	0.051	0	0.900	0	0.901
IL24	IL23R	1857961	1850338	9606.ENSP00000375795	9606.ENSP00000321345	0	0	0	0	0.053	0	0.900	0	0.901
JAK2	CD3E	1857411	1854149	9606.ENSP00000371067	9606.ENSP00000354566	0	0	0	0	0.051	0	0.900	0	0.901
JAK2	CXCL9	1857411	1854250	9606.ENSP00000371067	9606.ENSP00000354901	0	0	0	0	0	0	0.900	0	0.900
JAK2	IL23A	1857411	1843150	9606.ENSP00000371067	9606.ENSP00000228534	0	0	0	0	0	0	0.900	0	0.900
CXCL9	IL23R	1854250	1850338	9606.ENSP00000354901	9606.ENSP00000321345	0	0	0	0	0	0	0.900	0	0.900
