#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
IL8	CXCR1	1848852	1847603	9606.ENSP00000306512	9606.ENSP00000295683	0	0	0	0	0.086	0.866	0.900	0	0.986
CXCL2	CXCL1	1861702	1858329	9606.ENSP00000427279	9606.ENSP00000379110	0	0	0	0.976	0.840	0	0.900	0	0.983
CXCL1	IL8	1858329	1848852	9606.ENSP00000379110	9606.ENSP00000306512	0	0	0	0.881	0.825	0	0.900	0	0.981
CXCL2	IL8	1861702	1848852	9606.ENSP00000427279	9606.ENSP00000306512	0	0	0	0.875	0.764	0	0.900	0	0.975
CXCR2	CXCR1	1850165	1847603	9606.ENSP00000319635	9606.ENSP00000295683	0	0	0	0.978	0.590	0.360	0.900	0	0.971
FPR2	FPR1	1852295	1848441	9606.ENSP00000340191	9606.ENSP00000302707	0	0	0	0.977	0.629	0	0.900	0	0.961
CXCR2	FPR1	1850165	1848441	9606.ENSP00000319635	9606.ENSP00000302707	0	0	0	0.777	0.526	0	0.900	0	0.950
CXCR2	PPBP	1850165	1847664	9606.ENSP00000319635	9606.ENSP00000296028	0	0	0	0	0.119	0.360	0.900	0	0.938
CXCR2	IL8	1850165	1848852	9606.ENSP00000319635	9606.ENSP00000306512	0	0	0	0	0.086	0.360	0.900	0	0.936
CXCL1	CXCR2	1858329	1850165	9606.ENSP00000379110	9606.ENSP00000319635	0	0	0	0	0.053	0.360	0.900	0	0.934
CXCL1	CXCR1	1858329	1847603	9606.ENSP00000379110	9606.ENSP00000295683	0	0	0	0	0.053	0.360	0.900	0	0.934
CXCL2	CXCR2	1861702	1850165	9606.ENSP00000427279	9606.ENSP00000319635	0	0	0	0	0.053	0.360	0.900	0	0.934
CXCL2	CXCR1	1861702	1847603	9606.ENSP00000427279	9606.ENSP00000295683	0	0	0	0	0.053	0.360	0.900	0	0.934
ARRB1	CXCR2	1860799	1850165	9606.ENSP00000409581	9606.ENSP00000319635	0	0	0	0	0	0.360	0.900	0	0.933
PPBP	CXCR1	1847664	1847603	9606.ENSP00000296028	9606.ENSP00000295683	0	0	0	0	0	0.360	0.900	0	0.933
GNA14	CXCR2	1856528	1850165	9606.ENSP00000365807	9606.ENSP00000319635	0	0	0	0	0	0.360	0.900	0	0.933
FPR2	CXCR2	1852295	1850165	9606.ENSP00000340191	9606.ENSP00000319635	0	0	0	0.783	0.362	0	0.900	0	0.933
PPP2CA	CXCR2	1861358	1850165	9606.ENSP00000418447	9606.ENSP00000319635	0	0	0	0	0	0.360	0.900	0	0.933
GNA14	CXCR1	1856528	1847603	9606.ENSP00000365807	9606.ENSP00000295683	0	0	0	0	0	0.360	0.900	0	0.933
FPR1	CXCR1	1848441	1847603	9606.ENSP00000302707	9606.ENSP00000295683	0	0	0	0.733	0.267	0	0.900	0	0.923
FPR2	CXCR1	1852295	1847603	9606.ENSP00000340191	9606.ENSP00000295683	0	0	0	0.731	0.231	0	0.900	0	0.919
PPP2CA	ARRB1	1861358	1860799	9606.ENSP00000418447	9606.ENSP00000409581	0	0	0	0	0	0.169	0.900	0	0.913
FPR1	PPBP	1848441	1847664	9606.ENSP00000302707	9606.ENSP00000296028	0	0	0	0	0.110	0	0.900	0	0.907
FPR2	PPBP	1852295	1847664	9606.ENSP00000340191	9606.ENSP00000296028	0	0	0	0	0.106	0	0.900	0	0.906
CXCL2	FPR2	1861702	1852295	9606.ENSP00000427279	9606.ENSP00000340191	0	0	0	0	0.051	0	0.900	0	0.901
CXCL1	FPR2	1858329	1852295	9606.ENSP00000379110	9606.ENSP00000340191	0	0	0	0	0.051	0	0.900	0	0.901
CXCL1	FPR1	1858329	1848441	9606.ENSP00000379110	9606.ENSP00000302707	0	0	0	0	0.051	0	0.900	0	0.901
CXCL2	FPR1	1861702	1848441	9606.ENSP00000427279	9606.ENSP00000302707	0	0	0	0	0.051	0	0.900	0	0.901
IL8	PPBP	1848852	1847664	9606.ENSP00000306512	9606.ENSP00000296028	0	0	0	0.873	0.053	0	0.900	0	0.901
ARRB1	CXCR1	1860799	1847603	9606.ENSP00000409581	9606.ENSP00000295683	0	0	0	0	0	0	0.900	0	0.900
GNA14	FPR2	1856528	1852295	9606.ENSP00000365807	9606.ENSP00000340191	0	0	0	0	0	0	0.900	0	0.900
CXCL1	PPBP	1858329	1847664	9606.ENSP00000379110	9606.ENSP00000296028	0	0	0	0.921	0	0	0.900	0	0.900
ARRB1	FPR1	1860799	1848441	9606.ENSP00000409581	9606.ENSP00000302707	0	0	0	0	0	0	0.900	0	0.900
ARRB1	IL8	1860799	1848852	9606.ENSP00000409581	9606.ENSP00000306512	0	0	0	0	0	0	0.900	0	0.900
CXCL2	PPBP	1861702	1847664	9606.ENSP00000427279	9606.ENSP00000296028	0	0	0	0.910	0	0	0.900	0	0.900
PPP2CA	IL8	1861358	1848852	9606.ENSP00000418447	9606.ENSP00000306512	0	0	0	0	0	0	0.900	0	0.900
IL8	FPR1	1848852	1848441	9606.ENSP00000306512	9606.ENSP00000302707	0	0	0	0	0	0	0.900	0	0.900
FPR2	IL8	1852295	1848852	9606.ENSP00000340191	9606.ENSP00000306512	0	0	0	0	0	0	0.900	0	0.900
GNA14	IL8	1856528	1848852	9606.ENSP00000365807	9606.ENSP00000306512	0	0	0	0	0	0	0.900	0	0.900
