UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Experiments	Methods	Publications	3DStructures	CurationEvents
P29353	SHC1_HUMAN	SHC1	O00159	MYO1C_HUMAN	MYO1C	2	2	1	0	2
P24941	CDK2_HUMAN	CDK2	O00159	MYO1C_HUMAN	MYO1C	2	2	2	0	3
P17706	PTN2_HUMAN	PTPN2	O00159	MYO1C_HUMAN	MYO1C	1	1	1	0	1
P00533	EGFR_HUMAN	EGFR	O00159	MYO1C_HUMAN	MYO1C	1	1	1	0	1
P60953	CDC42_HUMAN	CDC42	O00401	WASL_HUMAN	WASL	7	5	6	0	7
P12931	SRC_HUMAN	SRC	O00401	WASL_HUMAN	WASL	1	1	1	0	1
Q9Y5K5	UCHL5_HUMAN	UCHL5	O00487	PSDE_HUMAN	PSMD14	10	3	8	0	12
O95817	BAG3_HUMAN	BAG3	O95817	BAG3_HUMAN	BAG3	1	1	1	0	2
P42224	STAT1_HUMAN	STAT1	P00533	EGFR_HUMAN	EGFR	14	9	7	0	15
P40763	STAT3_HUMAN	STAT3	P00533	EGFR_HUMAN	EGFR	24	11	17	0	31
P12931	SRC_HUMAN	SRC	P00533	EGFR_HUMAN	EGFR	19	7	17	0	23
P00533	EGFR_HUMAN	EGFR	P00533	EGFR_HUMAN	EGFR	28	13	24	9	30
O00401	WASL_HUMAN	WASL	P00533	EGFR_HUMAN	EGFR	3	3	2	0	3
Q12933	TRAF2_HUMAN	TRAF2	P00533	EGFR_HUMAN	EGFR	7	5	4	0	8
P42229	STA5A_HUMAN	STAT5A	P00533	EGFR_HUMAN	EGFR	8	6	4	0	10
P09619	PGFRB_HUMAN	PDGFRB	P00533	EGFR_HUMAN	EGFR	2	2	1	0	2
Q86X19	TMM17_HUMAN	TMEM17	P06213	INSR_HUMAN	INSR	2	2	1	0	3
P18031	PTN1_HUMAN	PTPN1	P06213	INSR_HUMAN	INSR	26	14	19	1	36
P17706	PTN2_HUMAN	PTPN2	P06213	INSR_HUMAN	INSR	3	3	2	0	3
P51692	STA5B_HUMAN	STAT5B	P06213	INSR_HUMAN	INSR	3	3	2	0	3
P06213	INSR_HUMAN	INSR	P06213	INSR_HUMAN	INSR	1	1	1	4	1
P00533	EGFR_HUMAN	EGFR	P06493	CDK1_HUMAN	CDK1	6	5	5	0	6
P52333	JAK3_HUMAN	JAK3	P06493	CDK1_HUMAN	CDK1	2	2	1	0	2
P06493	CDK1_HUMAN	CDK1	P06493	CDK1_HUMAN	CDK1	3	2	3	1	3
