#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
STAT1	STAT2	1854113	1849817	9606.ENSP00000354394	9606.ENSP00000315768	0	0	0	0.898	0.500	0.360	0.900	0	0.965
JAK2	STAT5A	1857411	1852428	9606.ENSP00000371067	9606.ENSP00000341208	0	0	0	0	0.053	0.608	0.900	0	0.959
JAK1	STAT5A	1852670	1852428	9606.ENSP00000343204	9606.ENSP00000341208	0	0	0	0	0.053	0.608	0.900	0	0.959
STAT1	STAT5A	1854113	1852428	9606.ENSP00000354394	9606.ENSP00000341208	0	0	0	0.752	0	0.595	0.900	0	0.957
JAK2	STAT2	1857411	1849817	9606.ENSP00000371067	9606.ENSP00000315768	0	0	0	0	0.112	0.410	0.900	0	0.943
JAK2	STAT1	1857411	1854113	9606.ENSP00000371067	9606.ENSP00000354394	0	0	0	0	0.106	0.410	0.900	0	0.942
JAK1	STAT2	1852670	1849817	9606.ENSP00000343204	9606.ENSP00000315768	0	0	0	0	0.090	0.410	0.900	0	0.941
STAT5A	TYK2	1852428	1845624	9606.ENSP00000341208	9606.ENSP00000264818	0	0	0	0	0.053	0.413	0.900	0	0.939
STAT2	TYK2	1849817	1845624	9606.ENSP00000315768	9606.ENSP00000264818	0	0	0	0	0.054	0.410	0.900	0	0.939
IL27	EBI3	1853433	1842863	9606.ENSP00000349365	9606.ENSP00000221847	0	0	0	0	0	0.407	0.900	0	0.938
STAT1	JAK1	1854113	1852670	9606.ENSP00000354394	9606.ENSP00000343204	0	0	0	0	0.054	0.388	0.900	0	0.937
STAT1	TYK2	1854113	1845624	9606.ENSP00000354394	9606.ENSP00000264818	0	0	0	0	0.053	0.388	0.900	0	0.937
JAK1	IL6ST	1852670	1852144	9606.ENSP00000343204	9606.ENSP00000338799	0	0	0	0	0.055	0.378	0.900	0	0.936
JAK1	IL27RA	1852670	1845345	9606.ENSP00000343204	9606.ENSP00000263379	0	0	0	0	0.053	0.360	0.900	0	0.934
STAT1	IL6ST	1854113	1852144	9606.ENSP00000354394	9606.ENSP00000338799	0	0	0	0	0.054	0.360	0.900	0	0.934
STAT1	IL27RA	1854113	1845345	9606.ENSP00000354394	9606.ENSP00000263379	0	0	0	0	0	0.360	0.900	0	0.933
JAK1	TYK2	1852670	1845624	9606.ENSP00000343204	9606.ENSP00000264818	0	0	0	0.936	0.051	0.360	0.900	0	0.933
IL27	IL27RA	1853433	1845345	9606.ENSP00000349365	9606.ENSP00000263379	0	0	0	0	0	0.343	0.900	0	0.931
JAK2	IL6ST	1857411	1852144	9606.ENSP00000371067	9606.ENSP00000338799	0	0	0	0	0.052	0.328	0.900	0	0.930
IL6ST	TYK2	1852144	1845624	9606.ENSP00000338799	9606.ENSP00000264818	0	0	0	0	0.055	0.305	0.900	0	0.928
IL27RA	EBI3	1845345	1842863	9606.ENSP00000263379	9606.ENSP00000221847	0	0	0	0	0	0.285	0.900	0	0.925
IL27	IL6ST	1853433	1852144	9606.ENSP00000349365	9606.ENSP00000338799	0	0	0	0	0	0.173	0.900	0	0.913
JAK2	STAT4	1857411	1853690	9606.ENSP00000371067	9606.ENSP00000351255	0	0	0	0	0.097	0.117	0.900	0	0.913
STAT4	TYK2	1853690	1845624	9606.ENSP00000351255	9606.ENSP00000264818	0	0	0	0	0.046	0.117	0.900	0	0.908
JAK2	JAK1	1857411	1852670	9606.ENSP00000371067	9606.ENSP00000343204	0	0	0	0.921	0.107	0	0.900	0	0.906
JAK2	IL27	1857411	1853433	9606.ENSP00000371067	9606.ENSP00000349365	0	0	0	0	0.077	0	0.900	0	0.903
IL27	STAT2	1853433	1849817	9606.ENSP00000349365	9606.ENSP00000315768	0	0	0	0	0.073	0	0.900	0	0.903
JAK2	EBI3	1857411	1842863	9606.ENSP00000371067	9606.ENSP00000221847	0	0	0	0	0.053	0	0.900	0	0.901
JAK2	IL27RA	1857411	1845345	9606.ENSP00000371067	9606.ENSP00000263379	0	0	0	0	0.053	0	0.900	0	0.901
STAT1	EBI3	1854113	1842863	9606.ENSP00000354394	9606.ENSP00000221847	0	0	0	0	0.053	0	0.900	0	0.901
TYK2	EBI3	1845624	1842863	9606.ENSP00000264818	9606.ENSP00000221847	0	0	0	0	0.053	0	0.900	0	0.901
TYK2	IL27RA	1845624	1845345	9606.ENSP00000264818	9606.ENSP00000263379	0	0	0	0	0.052	0	0.900	0	0.901
STAT4	IL6ST	1853690	1852144	9606.ENSP00000351255	9606.ENSP00000338799	0	0	0	0	0.053	0	0.900	0	0.901
JAK1	EBI3	1852670	1842863	9606.ENSP00000343204	9606.ENSP00000221847	0	0	0	0	0.053	0	0.900	0	0.901
IL6ST	STAT2	1852144	1849817	9606.ENSP00000338799	9606.ENSP00000315768	0	0	0	0	0.048	0	0.900	0	0.900
IL27	STAT5A	1853433	1852428	9606.ENSP00000349365	9606.ENSP00000341208	0	0	0	0	0	0	0.900	0	0.900
STAT4	IL27	1853690	1853433	9606.ENSP00000351255	9606.ENSP00000349365	0	0	0	0	0	0	0.900	0	0.900
STAT5A	IL6ST	1852428	1852144	9606.ENSP00000341208	9606.ENSP00000338799	0	0	0	0	0.048	0	0.900	0	0.900
IL6ST	EBI3	1852144	1842863	9606.ENSP00000338799	9606.ENSP00000221847	0	0	0	0	0	0	0.900	0	0.900
STAT2	IL27RA	1849817	1845345	9606.ENSP00000315768	9606.ENSP00000263379	0	0	0	0	0	0	0.900	0	0.900
STAT1	IL27	1854113	1853433	9606.ENSP00000354394	9606.ENSP00000349365	0	0	0	0	0	0	0.900	0	0.900
STAT5A	EBI3	1852428	1842863	9606.ENSP00000341208	9606.ENSP00000221847	0	0	0	0	0.050	0	0.900	0	0.900
IL27	TYK2	1853433	1845624	9606.ENSP00000349365	9606.ENSP00000264818	0	0	0	0	0	0	0.900	0	0.900
STAT4	IL27RA	1853690	1845345	9606.ENSP00000351255	9606.ENSP00000263379	0	0	0	0	0	0	0.900	0	0.900
STAT2	EBI3	1849817	1842863	9606.ENSP00000315768	9606.ENSP00000221847	0	0	0	0	0	0	0.900	0	0.900
