#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
IFNAR1	TYK2	1846131	1845624	9606.ENSP00000270139	9606.ENSP00000264818	0	0	0	0	0.053	0.866	0.900	0	0.986
STAT1	STAT2	1854113	1849817	9606.ENSP00000354394	9606.ENSP00000315768	0	0	0	0.898	0.500	0.360	0.900	0	0.965
STAT1	STAT5A	1854113	1852428	9606.ENSP00000354394	9606.ENSP00000341208	0	0	0	0.752	0	0.595	0.900	0	0.957
PTPN1	TYK2	1855520	1845624	9606.ENSP00000360683	9606.ENSP00000264818	0	0	0	0	0	0.566	0.900	0	0.954
PIK3R1	TYK2	1846375	1845624	9606.ENSP00000274335	9606.ENSP00000264818	0	0	0	0	0.054	0.527	0.900	0	0.951
PTPN6	TYK2	1859578	1845624	9606.ENSP00000391592	9606.ENSP00000264818	0	0	0	0	0.064	0.460	0.900	0	0.945
PTPN1	STAT5B	1855520	1847405	9606.ENSP00000360683	9606.ENSP00000293328	0	0	0	0	0.180	0.347	0.900	0	0.941
PTPN1	STAT5A	1855520	1852428	9606.ENSP00000360683	9606.ENSP00000341208	0	0	0	0	0.180	0.347	0.900	0	0.941
SOCS1	TYK2	1851146	1845624	9606.ENSP00000329418	9606.ENSP00000264818	0	0	0	0	0.049	0.411	0.900	0	0.939
STAT6	TYK2	1848146	1845624	9606.ENSP00000300134	9606.ENSP00000264818	0	0	0	0	0.053	0.413	0.900	0	0.939
STAT5B	TYK2	1847405	1845624	9606.ENSP00000293328	9606.ENSP00000264818	0	0	0	0	0.053	0.413	0.900	0	0.939
STAT5A	TYK2	1852428	1845624	9606.ENSP00000341208	9606.ENSP00000264818	0	0	0	0	0.053	0.413	0.900	0	0.939
STAT2	TYK2	1849817	1845624	9606.ENSP00000315768	9606.ENSP00000264818	0	0	0	0	0.054	0.410	0.900	0	0.939
STAT2	IFNAR1	1849817	1846131	9606.ENSP00000315768	9606.ENSP00000270139	0	0	0	0	0.081	0.381	0.900	0	0.938
STAT1	TYK2	1854113	1845624	9606.ENSP00000354394	9606.ENSP00000264818	0	0	0	0	0.053	0.388	0.900	0	0.937
STAT5A	STAT5B	1852428	1847405	9606.ENSP00000341208	9606.ENSP00000293328	0	0	0	0.989	0.102	0.360	0.900	0	0.937
STAT1	IFNAR1	1854113	1846131	9606.ENSP00000354394	9606.ENSP00000270139	0	0	0	0	0.052	0.377	0.900	0	0.935
PTPN6	PIK3R1	1859578	1846375	9606.ENSP00000391592	9606.ENSP00000274335	0	0	0	0	0	0.384	0.900	0	0.935
SOCS1	IFNAR1	1851146	1846131	9606.ENSP00000329418	9606.ENSP00000270139	0	0	0	0	0.053	0.360	0.900	0	0.934
PTPN6	IFNAR1	1859578	1846131	9606.ENSP00000391592	9606.ENSP00000270139	0	0	0	0	0	0.360	0.900	0	0.933
STAT1	STAT5B	1854113	1847405	9606.ENSP00000354394	9606.ENSP00000293328	0	0	0	0.762	0	0.285	0.900	0	0.925
PTPN1	STAT2	1855520	1849817	9606.ENSP00000360683	9606.ENSP00000315768	0	0	0	0	0.180	0.057	0.900	0	0.915
STAT1	SOCS1	1854113	1851146	9606.ENSP00000354394	9606.ENSP00000329418	0	0	0	0	0.059	0.138	0.900	0	0.911
SOCS1	STAT2	1851146	1849817	9606.ENSP00000329418	9606.ENSP00000315768	0	0	0	0	0.055	0.138	0.900	0	0.911
SOCS1	STAT6	1851146	1848146	9606.ENSP00000329418	9606.ENSP00000300134	0	0	0	0	0.048	0.138	0.900	0	0.910
SOCS1	STAT5B	1851146	1847405	9606.ENSP00000329418	9606.ENSP00000293328	0	0	0	0	0.048	0.138	0.900	0	0.910
STAT5A	SOCS1	1852428	1851146	9606.ENSP00000341208	9606.ENSP00000329418	0	0	0	0	0.048	0.138	0.900	0	0.910
PTPN6	STAT2	1859578	1849817	9606.ENSP00000391592	9606.ENSP00000315768	0	0	0	0	0.059	0.061	0.900	0	0.903
PTPN1	PIK3R1	1855520	1846375	9606.ENSP00000360683	9606.ENSP00000274335	0	0	0	0	0	0.065	0.900	0	0.902
PTPN1	IFNAR1	1855520	1846131	9606.ENSP00000360683	9606.ENSP00000270139	0	0	0	0	0.053	0	0.900	0	0.901
STAT2	STAT6	1849817	1848146	9606.ENSP00000315768	9606.ENSP00000300134	0	0	0	0.649	0	0.360	0.800	0	0.866
STAT6	STAT5B	1848146	1847405	9606.ENSP00000300134	9606.ENSP00000293328	0	0	0	0.865	0.092	0.162	0.800	0	0.834
STAT5A	STAT6	1852428	1848146	9606.ENSP00000341208	9606.ENSP00000300134	0	0	0	0.863	0.042	0.162	0.800	0	0.825
STAT2	STAT5B	1849817	1847405	9606.ENSP00000315768	9606.ENSP00000293328	0	0	0	0.686	0.086	0	0.800	0	0.809
STAT5A	STAT2	1852428	1849817	9606.ENSP00000341208	9606.ENSP00000315768	0	0	0	0.680	0.052	0	0.800	0	0.802
STAT1	STAT6	1854113	1848146	9606.ENSP00000354394	9606.ENSP00000300134	0	0	0	0.669	0.052	0	0.800	0	0.802
SOCS1	PIK3R1	1851146	1846375	9606.ENSP00000329418	9606.ENSP00000274335	0	0	0	0	0	0.489	0	0	0.489
