#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RELA	NFKBIA	1858923	1842621	9606.ENSP00000384273	9606.ENSP00000216797	0	0	0	0	0.074	0.977	0.900	0	0.997
NFKB1	NFKBIA	1843094	1842621	9606.ENSP00000226574	9606.ENSP00000216797	0	0	0	0.783	0.220	0.949	0.900	0	0.995
IKBKB	NFKB1	1861846	1843094	9606.ENSP00000430684	9606.ENSP00000226574	0	0	0	0	0.054	0.922	0.900	0	0.992
RELA	NFKB1	1858923	1843094	9606.ENSP00000384273	9606.ENSP00000226574	0	0	0	0.797	0.072	0.919	0.900	0	0.991
NFKB1	BCL3	1843094	1842291	9606.ENSP00000226574	9606.ENSP00000164227	0	0	0	0.694	0.074	0.904	0.900	0	0.990
CHUK	NFKBIA	1855248	1842621	9606.ENSP00000359424	9606.ENSP00000216797	0	0	0	0	0.042	0.890	0.900	0	0.988
REL	NFKBIA	1847519	1842621	9606.ENSP00000295025	9606.ENSP00000216797	0	0	0	0	0.053	0.889	0.900	0	0.988
IKBKB	NFKBIA	1861846	1842621	9606.ENSP00000430684	9606.ENSP00000216797	0	0	0	0	0.052	0.890	0.900	0	0.988
CHUK	NFKB1	1855248	1843094	9606.ENSP00000359424	9606.ENSP00000226574	0	0	0	0	0.042	0.877	0.900	0	0.987
REL	NFKB1	1847519	1843094	9606.ENSP00000295025	9606.ENSP00000226574	0	0	0	0.780	0.114	0.864	0.900	0	0.986
RELA	NFKBIB	1858923	1849588	9606.ENSP00000384273	9606.ENSP00000312988	0	0	0	0	0.053	0.858	0.900	0	0.985
NFKB1	RELB	1843094	1842834	9606.ENSP00000226574	9606.ENSP00000221452	0	0	0	0.773	0.177	0.819	0.900	0	0.983
NFKBIB	REL	1849588	1847519	9606.ENSP00000312988	9606.ENSP00000295025	0	0	0	0	0.052	0.808	0.900	0	0.980
RELA	REL	1858923	1847519	9606.ENSP00000384273	9606.ENSP00000295025	0	0	0	0.904	0.052	0.779	0.900	0	0.977
NFKBIB	NFKB1	1849588	1843094	9606.ENSP00000312988	9606.ENSP00000226574	0	0	0	0.679	0.055	0.774	0.900	0	0.976
IKBKB	RELA	1861846	1858923	9606.ENSP00000430684	9606.ENSP00000384273	0	0	0	0	0.053	0.774	0.900	0	0.976
RELA	CHUK	1858923	1855248	9606.ENSP00000384273	9606.ENSP00000359424	0	0	0	0	0.053	0.774	0.900	0	0.976
NFKBIB	NFKBIA	1849588	1842621	9606.ENSP00000312988	9606.ENSP00000216797	0	0	0	0.751	0.053	0.774	0.900	0	0.976
HDAC2	NFKB1	1861837	1843094	9606.ENSP00000430432	9606.ENSP00000226574	0	0	0	0	0.053	0.657	0.900	0	0.964
HDAC2	RELA	1861837	1858923	9606.ENSP00000430432	9606.ENSP00000384273	0	0	0	0	0	0.648	0.900	0	0.963
IKBKB	BIRC3	1861846	1845359	9606.ENSP00000430684	9606.ENSP00000263464	0	0	0	0	0.052	0.636	0.900	0	0.962
BIRC3	NFKB1	1845359	1843094	9606.ENSP00000263464	9606.ENSP00000226574	0	0	0	0	0.114	0.597	0.900	0	0.961
IKBKB	CHUK	1861846	1855248	9606.ENSP00000430684	9606.ENSP00000359424	0	0	0	0.952	0.072	0.609	0.900	0	0.960
