#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GNB1	GNGT1	1856899	1843918	9606.ENSP00000367869	9606.ENSP00000248572	0	0	0	0	0.054	0.943	0.900	0	0.994
GNB1	ADRBK1	1856899	1849510	9606.ENSP00000367869	9606.ENSP00000312262	0	0	0	0	0.056	0.930	0.900	0	0.992
GNG7	GNB1	1857491	1856899	9606.ENSP00000371594	9606.ENSP00000367869	0	0	0	0	0	0.923	0.900	0	0.991
PRKACB	PRKACA	1855328	1849201	9606.ENSP00000359719	9606.ENSP00000309591	0	0	0	0.988	0.053	0.774	0.900	0	0.976
ADRBK2	ADRBK1	1849968	1849510	9606.ENSP00000317578	9606.ENSP00000312262	0	0	0	0.987	0	0.774	0.800	0	0.952
GNB1	GNAL	1856899	1851667	9606.ENSP00000367869	9606.ENSP00000334051	0	0	0	0	0.054	0.520	0.900	0	0.950
GNG7	ADRBK1	1857491	1849510	9606.ENSP00000371594	9606.ENSP00000312262	0	0	0	0	0	0.364	0.900	0	0.933
ADRBK1	GNGT1	1849510	1843918	9606.ENSP00000312262	9606.ENSP00000248572	0	0	0	0	0	0.364	0.900	0	0.933
ARRB1	GNB1	1860799	1856899	9606.ENSP00000409581	9606.ENSP00000367869	0	0	0	0	0	0.360	0.900	0	0.933
GNAL	GNGT1	1851667	1843918	9606.ENSP00000334051	9606.ENSP00000248572	0	0	0	0	0.045	0.292	0.900	0	0.926
GNB1	PRKACB	1856899	1855328	9606.ENSP00000367869	9606.ENSP00000359719	0	0	0	0	0.270	0	0.900	0	0.923
GNB1	PRKACG	1856899	1856652	9606.ENSP00000367869	9606.ENSP00000366488	0	0	0	0	0.270	0	0.900	0	0.923
PRKACG	PRKACA	1856652	1849201	9606.ENSP00000366488	9606.ENSP00000309591	0	0	0	0.986	0	0.130	0.900	0	0.909
ARRB1	GNGT1	1860799	1843918	9606.ENSP00000409581	9606.ENSP00000248572	0	0	0	0	0.055	0	0.900	0	0.901
PRKACG	PRKACB	1856652	1855328	9606.ENSP00000366488	9606.ENSP00000359719	0	0	0	0.984	0	0	0.900	0	0.900
OR5B21	GNAL	1853995	1851667	9606.ENSP00000353537	9606.ENSP00000334051	0	0	0	0	0	0	0.900	0	0.900
OR5B21	GNGT1	1853995	1843918	9606.ENSP00000353537	9606.ENSP00000248572	0	0	0	0	0	0	0.900	0	0.900
PRKACB	GNGT1	1855328	1843918	9606.ENSP00000359719	9606.ENSP00000248572	0	0	0	0	0	0	0.900	0	0.900
GNG7	GNGT1	1857491	1843918	9606.ENSP00000371594	9606.ENSP00000248572	0	0	0	0	0	0	0.900	0	0.900
GNB1	OR5B21	1856899	1853995	9606.ENSP00000367869	9606.ENSP00000353537	0	0	0	0	0	0	0.900	0	0.900
PRKACG	GNGT1	1856652	1843918	9606.ENSP00000366488	9606.ENSP00000248572	0	0	0	0	0	0	0.900	0	0.900
ARRB1	ADRBK1	1860799	1849510	9606.ENSP00000409581	9606.ENSP00000312262	0	0	0	0	0.089	0.360	0.800	0	0.873
GNG7	GNAL	1857491	1851667	9606.ENSP00000371594	9606.ENSP00000334051	0	0	0	0	0.055	0.292	0.800	0	0.854
GNG7	PRKACB	1857491	1855328	9606.ENSP00000371594	9606.ENSP00000359719	0	0	0	0	0.054	0	0.800	0	0.802
GNG7	PRKACA	1857491	1849201	9606.ENSP00000371594	9606.ENSP00000309591	0	0	0	0	0.051	0	0.800	0	0.802
ARRB1	ADRBK2	1860799	1849968	9606.ENSP00000409581	9606.ENSP00000317578	0	0	0	0	0.050	0	0.800	0	0.801
ARRB1	OR5B21	1860799	1853995	9606.ENSP00000409581	9606.ENSP00000353537	0	0	0	0	0	0	0.800	0	0.800
PRKACB	OR5B21	1855328	1853995	9606.ENSP00000359719	9606.ENSP00000353537	0	0	0	0	0	0	0.800	0	0.800
OR5B21	ADRBK2	1853995	1849968	9606.ENSP00000353537	9606.ENSP00000317578	0	0	0	0	0	0	0.800	0	0.800
OR5B21	PRKACA	1853995	1849201	9606.ENSP00000353537	9606.ENSP00000309591	0	0	0	0	0	0	0.800	0	0.800
OR5B21	ADRBK1	1853995	1849510	9606.ENSP00000353537	9606.ENSP00000312262	0	0	0	0	0	0	0.800	0	0.800
PRKACA	GNGT1	1849201	1843918	9606.ENSP00000309591	9606.ENSP00000248572	0	0	0	0	0	0	0.800	0	0.800
GNG7	PRKACG	1857491	1856652	9606.ENSP00000371594	9606.ENSP00000366488	0	0	0	0	0	0	0.800	0	0.800
GNG7	OR5B21	1857491	1853995	9606.ENSP00000371594	9606.ENSP00000353537	0	0	0	0	0	0	0.800	0	0.800
PRKACG	OR5B21	1856652	1853995	9606.ENSP00000366488	9606.ENSP00000353537	0	0	0	0	0	0	0.800	0	0.800
GNB1	ADRBK2	1856899	1849968	9606.ENSP00000367869	9606.ENSP00000317578	0	0	0	0	0.056	0.503	0	0	0.510
